ArrayTaskID	lr_schedule	dropout	hidden_size	batch_size	lookback_hourly	lookback_daily	epochs	patience
1	1:5e-4,10:1e-4,25:5e-5	0.4	64	128	72	365	100	10
2	1:5e-4,10:1e-4,25:5e-5	0.4	64	128	168	365	100	10
3	1:5e-4,10:1e-4,25:5e-5	0.4	64	128	336	365	100	10
4	1:5e-4,10:1e-4,25:5e-5	0.4	64	256	72	365	100	10
5	1:5e-4,10:1e-4,25:5e-5	0.4	64	256	168	365	100	10
6	1:5e-4,10:1e-4,25:5e-5	0.4	64	256	336	365	100	10
7	1:5e-4,10:1e-4,25:5e-5	0.4	128	128	72	365	100	10
8	1:5e-4,10:1e-4,25:5e-5	0.4	128	128	168	365	100	10
9	1:5e-4,10:1e-4,25:5e-5	0.4	128	128	336	365	100	10
10	1:5e-4,10:1e-4,25:5e-5	0.4	128	256	72	365	100	10
11	1:5e-4,10:1e-4,25:5e-5	0.4	128	256	168	365	100	10
12	1:5e-4,10:1e-4,25:5e-5	0.4	128	256	336	365	100	10
13	1:5e-4,10:1e-4,25:5e-5	0.4	256	128	72	365	100	10
14	1:5e-4,10:1e-4,25:5e-5	0.4	256	128	168	365	100	10
15	1:5e-4,10:1e-4,25:5e-5	0.4	256	128	336	365	100	10
16	1:5e-4,10:1e-4,25:5e-5	0.4	256	256	72	365	100	10
17	1:5e-4,10:1e-4,25:5e-5	0.4	256	256	168	365	100	10
18	1:5e-4,10:1e-4,25:5e-5	0.4	256	256	336	365	100	10
19	1:5e-4,10:1e-4,25:5e-5	0.6	64	128	72	365	100	10
20	1:5e-4,10:1e-4,25:5e-5	0.6	64	128	168	365	100	10
21	1:5e-4,10:1e-4,25:5e-5	0.6	64	128	336	365	100	10
22	1:5e-4,10:1e-4,25:5e-5	0.6	64	256	72	365	100	10
23	1:5e-4,10:1e-4,25:5e-5	0.6	64	256	168	365	100	10
24	1:5e-4,10:1e-4,25:5e-5	0.6	64	256	336	365	100	10
25	1:5e-4,10:1e-4,25:5e-5	0.6	128	128	72	365	100	10
26	1:5e-4,10:1e-4,25:5e-5	0.6	128	128	168	365	100	10
27	1:5e-4,10:1e-4,25:5e-5	0.6	128	128	336	365	100	10
28	1:5e-4,10:1e-4,25:5e-5	0.6	128	256	72	365	100	10
29	1:5e-4,10:1e-4,25:5e-5	0.6	128	256	168	365	100	10
30	1:5e-4,10:1e-4,25:5e-5	0.6	128	256	336	365	100	10
31	1:5e-4,10:1e-4,25:5e-5	0.6	256	128	72	365	100	10
32	1:5e-4,10:1e-4,25:5e-5	0.6	256	128	168	365	100	10
33	1:5e-4,10:1e-4,25:5e-5	0.6	256	128	336	365	100	10
34	1:5e-4,10:1e-4,25:5e-5	0.6	256	256	72	365	100	10
35	1:5e-4,10:1e-4,25:5e-5	0.6	256	256	168	365	100	10
36	1:5e-4,10:1e-4,25:5e-5	0.6	256	256	336	365	100	10
37	1:1e-3,10:5e-4,25:1e-4	0.4	64	128	72	365	100	10
38	1:1e-3,10:5e-4,25:1e-4	0.4	64	128	168	365	100	10
39	1:1e-3,10:5e-4,25:1e-4	0.4	64	128	336	365	100	10
40	1:1e-3,10:5e-4,25:1e-4	0.4	64	256	72	365	100	10
41	1:1e-3,10:5e-4,25:1e-4	0.4	64	256	168	365	100	10
42	1:1e-3,10:5e-4,25:1e-4	0.4	64	256	336	365	100	10
43	1:1e-3,10:5e-4,25:1e-4	0.4	128	128	72	365	100	10
44	1:1e-3,10:5e-4,25:1e-4	0.4	128	128	168	365	100	10
45	1:1e-3,10:5e-4,25:1e-4	0.4	128	128	336	365	100	10
46	1:1e-3,10:5e-4,25:1e-4	0.4	128	256	72	365	100	10
47	1:1e-3,10:5e-4,25:1e-4	0.4	128	256	168	365	100	10
48	1:1e-3,10:5e-4,25:1e-4	0.4	128	256	336	365	100	10
49	1:1e-3,10:5e-4,25:1e-4	0.4	256	128	72	365	100	10
50	1:1e-3,10:5e-4,25:1e-4	0.4	256	128	168	365	100	10
51	1:1e-3,10:5e-4,25:1e-4	0.4	256	128	336	365	100	10
52	1:1e-3,10:5e-4,25:1e-4	0.4	256	256	72	365	100	10
53	1:1e-3,10:5e-4,25:1e-4	0.4	256	256	168	365	100	10
54	1:1e-3,10:5e-4,25:1e-4	0.4	256	256	336	365	100	10
55	1:1e-3,10:5e-4,25:1e-4	0.6	64	128	72	365	100	10
56	1:1e-3,10:5e-4,25:1e-4	0.6	64	128	168	365	100	10
57	1:1e-3,10:5e-4,25:1e-4	0.6	64	128	336	365	100	10
58	1:1e-3,10:5e-4,25:1e-4	0.6	64	256	72	365	100	10
59	1:1e-3,10:5e-4,25:1e-4	0.6	64	256	168	365	100	10
60	1:1e-3,10:5e-4,25:1e-4	0.6	64	256	336	365	100	10
61	1:1e-3,10:5e-4,25:1e-4	0.6	128	128	72	365	100	10
62	1:1e-3,10:5e-4,25:1e-4	0.6	128	128	168	365	100	10
63	1:1e-3,10:5e-4,25:1e-4	0.6	128	128	336	365	100	10
64	1:1e-3,10:5e-4,25:1e-4	0.6	128	256	72	365	100	10
65	1:1e-3,10:5e-4,25:1e-4	0.6	128	256	168	365	100	10
66	1:1e-3,10:5e-4,25:1e-4	0.6	128	256	336	365	100	10
67	1:1e-3,10:5e-4,25:1e-4	0.6	256	128	72	365	100	10
68	1:1e-3,10:5e-4,25:1e-4	0.6	256	128	168	365	100	10
69	1:1e-3,10:5e-4,25:1e-4	0.6	256	128	336	365	100	10
70	1:1e-3,10:5e-4,25:1e-4	0.6	256	256	72	365	100	10
71	1:1e-3,10:5e-4,25:1e-4	0.6	256	256	168	365	100	10
72	1:1e-3,10:5e-4,25:1e-4	0.6	256	256	336	365	100	10
