Complexity,Loss,Equation
1,0.71949434,"-0.05910943"
3,0.29703307,"DRAIN_SQKM / 1.5065722"
5,0.2935823,"(DRAIN_SQKM / 1.4956597) - 0.060809027"
7,0.26043457,"((PotEvap_lag44 - 3.4442365) * DRAIN_SQKM) * -0.19052482"
9,0.24441,"((DRAIN_SQKM * (PotEvap_lag44 - 4.0459065)) - Rainf_lag1) * -0.16259183"
11,0.234566,"((PotEvap_lag60 + (DRAIN_SQKM * (PotEvap_lag29 - 4.0459065))) - Rainf_lag1) * -0.16259183"
13,0.2318347,"(((DRAIN_SQKM + 0.7890134) * -0.1646808) * (-1.4325197 - (STRAHLER_MAX - PotEvap_lag44))) + -0.3762883"
15,0.23081304,"((-1.3188888 - (STRAHLER_MAX - PotEvap_lag44)) * (DRAIN_SQKM + ((DRAIN_SQKM + 0.107329525) * -1.1730938))) - 0.33159795"
17,0.20840605,"((-1.6029308 - (STRAHLER_MAX - PotEvap_lag44)) * ((((DRAIN_SQKM + DRAIN_SQKM) + 1.5879469) + Rainf_lag1) * -0.078397825)) - 0.35728264"
19,0.19625756,"((((ELEV_STD_M_BASIN + (DRAIN_SQKM + (DRAIN_SQKM + 1.371551))) + Rainf_lag1) * (-1.6029308 - (STRAHLER_MAX - PotEvap_lag44))) * -0.078397825) - 0.35728264"
21,0.19544813,"((((Rainf_lag1 + (low_prec_freq * -0.7491074)) + (DRAIN_SQKM + DRAIN_SQKM)) + 1.371551) * (-0.078397825 * (-1.6029308 - (STRAHLER_MAX - PotEvap_lag44)))) - 0.35728264"
23,0.19508556,"(((-1.9482533 - (STRAHLER_MAX - PotEvap_lag44)) * (((Rainf_lag1 + DRAIN_SQKM) + ((-1.7025952 - DRAIN_SQKM) * -0.7946811)) + (DRAIN_SQKM + ELEV_STD_M_BASIN))) * -0.05476038) - 0.30561286"
25,0.19015034,"((-1.9482533 - (STRAHLER_MAX - PotEvap_lag44)) * (((DRAIN_SQKM + Rainf_lag1) + ((((low_prec_freq + -1.6478349) - DRAIN_SQKM) * -0.7946811) + (ELEV_STD_M_BASIN + DRAIN_SQKM))) * -0.05476038)) - 0.30561286"
27,0.18844217,"((-0.078397825 * (-1.7692816 - (STRAHLER_MAX - PotEvap_lag44))) * ((Rainf_lag1 + (log_abs(low_prec_freq + 1.4821125) * -0.7491074)) + ((DRAIN_SQKM + DRAIN_SQKM) + 1.371551))) - 0.35728264"
29,0.1883049,"((((((((-1.569884 + low_prec_freq) + (PotEvap_lag60 - DRAIN_SQKM)) * -0.7946811) + Rainf_lag1) + ELEV_STD_M_BASIN) + (DRAIN_SQKM + DRAIN_SQKM)) * ((-1.9482533 - (STRAHLER_MAX - PotEvap_lag44)) * -0.05476038)) - 0.30561286) + -0.027748965"
30,0.18747002,"(((-1.9482533 - (STRAHLER_MAX - PotEvap_lag44)) * -0.05476038) * (((ELEV_STD_M_BASIN + Rainf_lag1) + (((low_prec_freq + ((sin(PotEvap_lag54) + -1.569884) - DRAIN_SQKM)) * -0.7946811) + DRAIN_SQKM)) + DRAIN_SQKM)) - 0.30561286"
32,0.18593192,"((((((((-1.569884 + low_prec_freq) + (sin(PotEvap_lag60) - DRAIN_SQKM)) * -0.7946811) + Rainf_lag1) + ELEV_STD_M_BASIN) + (DRAIN_SQKM + DRAIN_SQKM)) * ((-1.9482533 - (STRAHLER_MAX - PotEvap_lag44)) * -0.05476038)) - 0.30561286) + -0.027748965"
