Complexity,Loss,Equation
1,0.06444375,"-0.0061097853"
3,0.06301729,"DRAIN_SQKM * -0.032215036"
5,0.06118954,"(DRAIN_SQKM * Tair_lag64) * 0.045734607"
7,0.059719555,"(Rainf_lag2 * -0.010014086) / (0.56653357 - DRAIN_SQKM)"
9,0.055188414,"(Rainf_lag2 / exp(Tair_lag11)) * 0.024163548"
11,0.0546673,"(Rainf_lag2 * 0.006014025) / exp(Tair_lag11 * 1.4600074)"
13,0.05313503,"Rainf_lag2 * (DRAIN_SQKM * square(-0.04813074 / exp(Tair_lag11)))"
16,0.05283016,"Rainf_lag2 * square(sin((Tair_lag65 * 0.035608284) / exp(Tair_lag11)))"
17,0.052740604,"Rainf_lag2 * (sqrt_abs((0.0008461924 * DRAIN_SQKM) * PotEvap_lag1) / exp(Tair_lag11))"
18,0.052387383,"square(tanh(PotEvap_lag1 * (Tair_lag65 * (0.035608284 / exp(Tair_lag11))))) * Rainf_lag2"
20,0.052037254,"Rainf_lag2 * tanh(square(PotEvap_lag1 * ((Tair_lag65 / exp(Tair_lag11 * 0.7756277)) * 0.035608284)))"
22,0.05179663,"tanh((square(PotEvap_lag1) * square((Tair_lag65 / exp(Tair_lag11)) * 0.035608284)) * DRAIN_SQKM) * Rainf_lag2"
26,0.051746394,"Rainf_lag2 * square(tanh(sqrt_abs((DRAIN_SQKM * 0.0008461924) / exp(PotEvap_lag42)) / exp(Tair_lag11)))"
28,0.05080308,"square(sin(sqrt_abs(DRAIN_SQKM * ((Tair_lag78 / exp(PotEvap_lag42)) * -0.00086829683)) / exp(Tair_lag11))) * Rainf_lag2"
30,0.0507357,"(Rainf_lag2 - 0.20275782) * square(sin(sqrt_abs((Tair_lag78 * DRAIN_SQKM) * (0.0008461924 / exp(PotEvap_lag42))) / exp(Tair_lag11)))"
33,0.05023052,"(Rainf_lag2 - tanh(DRAIN_SQKM)) * sin(square(sqrt_abs(((DRAIN_SQKM * Tair_lag78) / exp(PotEvap_lag42)) * -0.0009287939) / exp(Tair_lag11)))"
