complexity,loss,equation,score,sympy_format,lambda_format
1,0.06444375,-0.0061097853,0.0,-0.00610978530000000,PySRFunction(X=>-0.00610978530000000)
3,0.06301729,DRAIN_SQKM * -0.032215036,0.01119180855056346,DRAIN_SQKM*(-0.032215036),PySRFunction(X=>DRAIN_SQKM*(-0.032215036))
5,0.06118954,(DRAIN_SQKM * Tair_lag64) * 0.045734607,0.014716436652513811,DRAIN_SQKM*Tair_lag64*0.045734607,PySRFunction(X=>DRAIN_SQKM*Tair_lag64*0.045734607)
7,0.059719555,(Rainf_lag2 * -0.010014086) / (0.56653357 - DRAIN_SQKM),0.012158369337394014,Rainf_lag2*(-0.010014086)/(0.56653357 - DRAIN_SQKM),PySRFunction(X=>Rainf_lag2*(-0.010014086)/(0.56653357 - DRAIN_SQKM))
9,0.055188414,(Rainf_lag2 / exp(Tair_lag11)) * 0.024163548,0.039453240627367374,Rainf_lag2*0.024163548/exp(Tair_lag11),PySRFunction(X=>Rainf_lag2*0.024163548/exp(Tair_lag11))
11,0.0546673,(Rainf_lag2 * 0.006014025) / exp(Tair_lag11 * 1.4600074),0.004743657746803306,Rainf_lag2*0.006014025/exp(Tair_lag11*1.4600074),PySRFunction(X=>Rainf_lag2*0.006014025/exp(Tair_lag11*1.4600074))
13,0.05313503,Rainf_lag2 * (DRAIN_SQKM * square(-0.04813074 / exp(Tair_lag11))),0.01421465751536438,DRAIN_SQKM*Rainf_lag2*(0.0023165681329476*exp(-2*Tair_lag11)),PySRFunction(X=>DRAIN_SQKM*Rainf_lag2*(0.0023165681329476*exp(-2*Tair_lag11)))
16,0.05283016,Rainf_lag2 * square(sin((Tair_lag65 * 0.035608284) / exp(Tair_lag11))),0.001918056556740215,Rainf_lag2*sin(Tair_lag65*0.035608284/exp(Tair_lag11))**2,PySRFunction(X=>Rainf_lag2*sin(Tair_lag65*0.035608284/exp(Tair_lag11))**2)
17,0.052740604,Rainf_lag2 * (sqrt_abs((0.0008461924 * DRAIN_SQKM) * PotEvap_lag1) / exp(Tair_lag11)),0.0016966064862814984,Rainf_lag2*(0.0290893863806028*sqrt(Abs(DRAIN_SQKM*PotEvap_lag1) + 0.00118176433633769))/exp(Tair_lag11),PySRFunction(X=>Rainf_lag2*(0.0290893863806028*sqrt(Abs(DRAIN_SQKM*PotEvap_lag1) + 0.00118176433633769))/exp(Tair_lag11))
18,0.052387383,square(tanh(PotEvap_lag1 * (Tair_lag65 * (0.035608284 / exp(Tair_lag11))))) * Rainf_lag2,0.006719853376099798,Rainf_lag2*tanh(PotEvap_lag1*Tair_lag65*0.035608284/exp(Tair_lag11))**2,PySRFunction(X=>Rainf_lag2*tanh(PotEvap_lag1*Tair_lag65*0.035608284/exp(Tair_lag11))**2)
20,0.052037254,Rainf_lag2 * tanh(square(PotEvap_lag1 * ((Tair_lag65 / exp(Tair_lag11 * 0.7756277)) * 0.035608284))),0.003352947370829559,Rainf_lag2*tanh(0.00126794988942466*PotEvap_lag1**2*Tair_lag65**2*exp(-1.5512554*Tair_lag11)),PySRFunction(X=>Rainf_lag2*tanh(0.00126794988942466*PotEvap_lag1**2*Tair_lag65**2*exp(-1.5512554*Tair_lag11)))
22,0.05179663,tanh((square(PotEvap_lag1) * square((Tair_lag65 / exp(Tair_lag11)) * 0.035608284)) * DRAIN_SQKM) * Rainf_lag2,0.002317397957910649,Rainf_lag2*tanh(DRAIN_SQKM*PotEvap_lag1**2*(0.00126794988942466*Tair_lag65**2*exp(-2*Tair_lag11))),PySRFunction(X=>Rainf_lag2*tanh(DRAIN_SQKM*PotEvap_lag1**2*(0.00126794988942466*Tair_lag65**2*exp(-2*Tair_lag11))))
26,0.051746394,Rainf_lag2 * square(tanh(sqrt_abs((DRAIN_SQKM * 0.0008461924) / exp(PotEvap_lag42)) / exp(Tair_lag11))),0.00024258516895203305,Rainf_lag2*tanh((0.0290893863806028*sqrt(0.00118176433633769 + exp(-re(PotEvap_lag42))*Abs(DRAIN_SQKM)))/exp(Tair_lag11))**2,PySRFunction(X=>Rainf_lag2*tanh((0.0290893863806028*sqrt(0.00118176433633769 + exp(-re(PotEvap_lag42))*Abs(DRAIN_SQKM)))/exp(Tair_lag11))**2)
28,0.05080308,square(sin(sqrt_abs(DRAIN_SQKM * ((Tair_lag78 / exp(PotEvap_lag42)) * -0.00086829683)) / exp(Tair_lag11))) * Rainf_lag2,0.009198882945218348,Rainf_lag2*sin((0.029466876828059*sqrt(0.00115167989269292 + exp(-re(PotEvap_lag42))*Abs(DRAIN_SQKM*Tair_lag78)))/exp(Tair_lag11))**2,PySRFunction(X=>Rainf_lag2*sin((0.029466876828059*sqrt(0.00115167989269292 + exp(-re(PotEvap_lag42))*Abs(DRAIN_SQKM*Tair_lag78)))/exp(Tair_lag11))**2)
30,0.0507357,(Rainf_lag2 - 0.20275782) * square(sin(sqrt_abs((Tair_lag78 * DRAIN_SQKM) * (0.0008461924 / exp(PotEvap_lag42))) / exp(Tair_lag11))),0.0006635889252388483,(Rainf_lag2 - 1*0.20275782)*sin((0.0290893863806028*sqrt(0.00118176433633769 + exp(-re(PotEvap_lag42))*Abs(DRAIN_SQKM*Tair_lag78)))/exp(Tair_lag11))**2,PySRFunction(X=>(Rainf_lag2 - 1*0.20275782)*sin((0.0290893863806028*sqrt(0.00118176433633769 + exp(-re(PotEvap_lag42))*Abs(DRAIN_SQKM*Tair_lag78)))/exp(Tair_lag11))**2)
33,0.05023052,(Rainf_lag2 - tanh(DRAIN_SQKM)) * sin(square(sqrt_abs(((DRAIN_SQKM * Tair_lag78) / exp(PotEvap_lag42)) * -0.0009287939) / exp(Tair_lag11))),0.0033356649099582484,(Rainf_lag2 - tanh(DRAIN_SQKM))*sin((1.0e-6 + 0.0009287939*exp(-re(PotEvap_lag42))*Abs(DRAIN_SQKM*Tair_lag78))*exp(-2*Tair_lag11)),PySRFunction(X=>(Rainf_lag2 - tanh(DRAIN_SQKM))*sin((1.0e-6 + 0.0009287939*exp(-re(PotEvap_lag42))*Abs(DRAIN_SQKM*Tair_lag78))*exp(-2*Tair_lag11)))
