alpha,beta,tau,sharpness,val_corrected_kge,val_corrected_nse,val_negative_kge_stations,val_negative_nse_stations
0.8,0.2,0.2,0.05,0.740145647677264,0.7332593798846905,0,1
0.8,0.2,0.2,0.1,0.7400875173720469,0.7331680631644887,0,1
0.8,0.2,0.2,0.2,0.7399657437330225,0.7329284800525837,0,1
0.8,0.2,0.4,0.1,0.7399092281495427,0.7325414982769219,0,1
0.8,0.2,0.4,0.05,0.7398636371475122,0.7325655223686928,0,1
0.8,0.2,0.4,0.2,0.7398312027106151,0.7324798948028026,0,1
0.8,0.2,0.0,0.05,0.7397750423609388,0.7335831313542722,0,1
0.8,0.2,0.0,0.1,0.7397425159917089,0.7334947033392629,0,1
0.8,0.2,0.2,0.35,0.7396901077074147,0.7326147537793619,0,1
0.8,0.2,0.0,0.2,0.7396341784004881,0.7331948096063303,0,1
0.8,0.2,0.0,0.35,0.7395533210223966,0.7327807432902942,0,1
0.8,0.2,0.4,0.35,0.7395301416127951,0.7323616499047862,0,1
0.8,0.2,-0.2,0.05,0.7384227949223972,0.7336046649090704,0,1
0.8,0.2,-0.2,0.35,0.7383991796707737,0.7328349326128267,0,1
0.8,0.2,-0.2,0.1,0.7383516385739038,0.7335059944856299,0,1
0.8,0.2,-0.2,0.2,0.7382915574791313,0.7332265596138108,0,1
0.8,0.2,-0.4,0.35,0.7372771420159467,0.7327828675910857,0,1
0.8,0.2,-0.4,0.2,0.7369226507828229,0.7330461514027939,0,1
0.6,0.6,0.4,0.1,0.736916953693462,0.7299149568279815,0,0
0.8,0.2,-0.4,0.1,0.7367767610944966,0.7332054973677204,0,1
0.8,0.2,-0.4,0.05,0.7367544685417478,0.7332639067459397,0,1
0.6,0.6,0.4,0.05,0.7366963013729113,0.7298873228626643,0,0
0.6,0.6,0.4,0.2,0.7363548400336729,0.7300183710800592,0,0
0.6,0.6,0.2,0.2,0.7356057795375476,0.7302253985619727,0,0
0.6,0.6,0.2,0.1,0.7350322283074748,0.7301940921927109,0,0
0.6,0.6,0.2,0.05,0.7349069375498833,0.7301745782361566,0,0
0.6,0.6,0.4,0.35,0.7345514726610407,0.730221912366419,0,0
0.6,0.6,0.2,0.35,0.7336899048464773,0.730330948784739,0,0
0.6,0.6,0.0,0.1,0.7336134992716126,0.7304597521954226,0,0
0.6,0.6,0.0,0.05,0.7334643332688371,0.7304799032461997,0,0
0.6,0.6,0.0,0.2,0.7328199059611403,0.7304351516734306,0,0
0.6,0.8,0.4,0.35,0.7292479468954054,0.7257119656904689,0,0
0.6,0.6,0.0,0.35,0.7290565626725698,0.7304589506303949,0,0
0.6,0.4,0.0,0.05,0.7290403474657267,0.7348516540936343,0,1
0.6,0.4,0.2,0.05,0.7281023462301655,0.7346333581790515,0,1
0.6,0.4,0.2,0.1,0.7280439681569655,0.7346425858087013,0,1
0.6,0.8,0.4,0.2,0.7279134836007584,0.7254165998471165,0,0
0.6,0.4,0.0,0.1,0.7278076229437949,0.7348344248902815,0,1
0.6,0.4,0.2,0.2,0.7276802945148073,0.7346544429277271,0,1
0.6,0.8,0.4,0.1,0.7272176312984782,0.7252599755458674,0,0
0.6,0.8,0.4,0.05,0.7269343868247584,0.7252134182419843,0,0
0.6,0.8,0.2,0.35,0.7268656116616949,0.7258262672544463,0,0
0.4,0.8,0.4,0.05,0.7267878831482153,0.7258644315050558,0,0
0.8,0.4,0.4,0.05,0.7267348742106121,0.7338350971562696,0,1
0.8,0.4,0.4,0.1,0.7266544747371466,0.7338489416895337,0,1
0.4,0.8,0.4,0.1,0.7264509772301009,0.7259101671500425,0,0
0.8,0.4,0.4,0.2,0.7263566012665101,0.7339097158175691,0,1
0.6,0.4,0.4,0.1,0.7261142830870113,0.7344403087395145,0,1
0.6,0.4,0.4,0.05,0.7261072833783612,0.7344269505081562,0,1
0.8,0.4,0.4,0.35,0.7258093320114009,0.7340357365790103,0,1
0.6,0.4,0.4,0.2,0.7256455886604865,0.7344994744072566,0,1
0.6,0.6,-0.2,0.05,0.7254631681493844,0.7306498035243292,0,0
0.6,0.4,0.0,0.2,0.7254378346009951,0.734809574073393,0,1
0.6,0.4,0.2,0.35,0.7254125625164385,0.7347113470636621,0,1
0.8,0.4,-0.4,0.35,0.72538480224011,0.734396923827276,0,1
0.6,0.8,0.2,0.2,0.7253375995249814,0.725659719149127,0,0
0.8,0.4,-0.2,0.1,0.7253141751827812,0.7343695525615475,0,1
0.8,0.4,-0.2,0.05,0.7252675419201267,0.734375240728266,0,1
0.8,0.4,-0.2,0.2,0.7250392437605886,0.734340539893054,0,1
0.6,0.8,0.0,0.35,0.7248583987413667,0.7259675798542937,0,0
0.8,0.4,-0.4,0.2,0.7248361351674686,0.7344405763132301,0,1
0.8,0.4,-0.4,0.1,0.7246630390699207,0.7344629132065661,0,1
0.8,0.4,-0.4,0.05,0.724620286960604,0.734465046267111,0,1
0.6,0.8,0.2,0.1,0.7245957728621991,0.7256006900009272,0,0
0.6,0.4,0.4,0.35,0.7244512069221121,0.7346226440144787,0,1
0.6,0.8,0.2,0.05,0.7244410748033615,0.7255674180892013,0,0
0.4,0.8,0.2,0.05,0.7243776545328808,0.7262274003858968,0,0
0.8,0.4,0.2,0.05,0.7242316954765742,0.734036887551748,0,1
0.8,0.4,0.2,0.1,0.7242231344278056,0.7340465778326553,0,1
0.4,0.8,0.2,0.1,0.7241889025746426,0.7262598607502766,0,0
0.8,0.4,-0.2,0.35,0.7241813047139527,0.7343120185633065,0,1
0.8,0.4,0.0,0.05,0.7240593431228584,0.734252302453007,0,1
0.8,0.4,0.2,0.2,0.7240233906840157,0.7340599379768067,0,1
