complexity,loss,equation,score,sympy_format,lambda_format
1,0.17931207,-0.076379776,0.0,-0.0763797760000000,PySRFunction(X=>-0.0763797760000000)
5,0.17516509,(rain_pet_logratio_90 - 1.2518296) * 0.06252247,0.005849698758423814,(rain_pet_logratio_90 - 1*1.2518296)*0.06252247,PySRFunction(X=>(rain_pet_logratio_90 - 1*1.2518296)*0.06252247)
7,0.17319122,((rain_pet_logratio_90 - lstm_pred_log1p) - 0.92467874) * 0.07096313,0.005666299327074887,(-lstm_pred_log1p + rain_pet_logratio_90 - 1*0.92467874)*0.07096313,PySRFunction(X=>(-lstm_pred_log1p + rain_pet_logratio_90 - 1*0.92467874)*0.07096313)
9,0.1708052,((0.430568 - for_pc_use) * 0.075697884) * (SLOPE_PCT + rain_sum_90),0.006936288073430308,(0.430568 - for_pc_use)*0.075697884*(SLOPE_PCT + rain_sum_90),PySRFunction(X=>(0.430568 - for_pc_use)*0.075697884*(SLOPE_PCT + rain_sum_90))
11,0.16795258,(SLOPE_PCT + (rain_pet_logratio_90 - p_mean)) * ((0.5582391 - for_pc_use) * 0.06458572),0.008421024100397115,(SLOPE_PCT - p_mean + rain_pet_logratio_90)*(0.5582391 - for_pc_use)*0.06458572,PySRFunction(X=>(SLOPE_PCT - p_mean + rain_pet_logratio_90)*(0.5582391 - for_pc_use)*0.06458572)
13,0.16785128,((((SLOPE_PCT + rain_pet_logratio_90) - p_mean) * (0.5582391 - for_pc_use)) + -0.20231616) * 0.06476616,0.00030166420086062,((0.5582391 - for_pc_use)*(SLOPE_PCT - p_mean + rain_pet_logratio_90) - 0.20231616)*0.06476616,PySRFunction(X=>((0.5582391 - for_pc_use)*(SLOPE_PCT - p_mean + rain_pet_logratio_90) - 0.20231616)*0.06476616)
14,0.16784394,tanh(0.06481153 * ((0.5582391 - for_pc_use) * ((SLOPE_PCT + rain_pet_logratio_90) - p_mean))),4.3730143081397794e-05,tanh(0.06481153*(0.5582391 - for_pc_use)*(SLOPE_PCT - p_mean + rain_pet_logratio_90)),PySRFunction(X=>tanh(0.06481153*(0.5582391 - for_pc_use)*(SLOPE_PCT - p_mean + rain_pet_logratio_90)))
15,0.16738188,(((BAS_COMPACTNESS * -0.20231616) + SLOPE_PCT) + (rain_pet_logratio_90 - p_mean)) * ((0.5582391 - for_pc_use) * 0.06476616),0.0027567106413039183,(BAS_COMPACTNESS*(-0.20231616) + SLOPE_PCT - p_mean + rain_pet_logratio_90)*(0.5582391 - for_pc_use)*0.06476616,PySRFunction(X=>(BAS_COMPACTNESS*(-0.20231616) + SLOPE_PCT - p_mean + rain_pet_logratio_90)*(0.5582391 - for_pc_use)*0.06476616)
17,0.16727443,(((lstm_pred_log1p + BAS_COMPACTNESS) * -0.20231616) + ((SLOPE_PCT + (rain_pet_logratio_90 - p_mean)) * (0.5582391 - for_pc_use))) * 0.06476616,0.00032107568416184945,((0.5582391 - for_pc_use)*(SLOPE_PCT - p_mean + rain_pet_logratio_90) + (BAS_COMPACTNESS + lstm_pred_log1p)*(-0.20231616))*0.06476616,PySRFunction(X=>((0.5582391 - for_pc_use)*(SLOPE_PCT - p_mean + rain_pet_logratio_90) + (BAS_COMPACTNESS + lstm_pred_log1p)*(-0.20231616))*0.06476616)
20,0.16720687,tanh((((lstm_pred_log1p + BAS_COMPACTNESS) * -0.20231616) + ((SLOPE_PCT + (rain_pet_logratio_90 - p_mean)) * (0.5582391 - for_pc_use))) * 0.06476616),0.00013465625914662455,tanh(((0.5582391 - for_pc_use)*(SLOPE_PCT - p_mean + rain_pet_logratio_90) + (BAS_COMPACTNESS + lstm_pred_log1p)*(-0.20231616))*0.06476616),PySRFunction(X=>tanh(((0.5582391 - for_pc_use)*(SLOPE_PCT - p_mean + rain_pet_logratio_90) + (BAS_COMPACTNESS + lstm_pred_log1p)*(-0.20231616))*0.06476616))
