complexity,loss,equation,score,sympy_format,lambda_format
1,0.17939585,-0.043916773,0.0,-0.0439167730000000,PySRFunction(X=>-0.0439167730000000)
3,0.17837141,p_seasonality * 0.053858932,0.0028634336184900386,p_seasonality*0.053858932,PySRFunction(X=>p_seasonality*0.053858932)
5,0.17664494,(PERMAVE + -0.8766119) / 20.10367,0.004863110136265784,(PERMAVE - 0.8766119)/20.10367,PySRFunction(X=>(PERMAVE - 0.8766119)/20.10367)
6,0.17612764,-0.035495292 / cos(p_seasonality),0.002932769722525902,-0.035495292/cos(p_seasonality),PySRFunction(X=>-0.035495292/cos(p_seasonality))
7,0.17588595,0.07694829 * (-1.2209387 + (p_seasonality * pet_mean)),0.0013731858362532661,0.07694829*(p_seasonality*pet_mean - 1.2209387),PySRFunction(X=>0.07694829*(p_seasonality*pet_mean - 1.2209387))
8,0.1704546,-0.070106834 / cos(square(PERMAVE)),0.031366788018314176,-0.070106834/cos(PERMAVE**2),PySRFunction(X=>-0.070106834/cos(PERMAVE**2))
10,0.17034745,-0.060126875 / cos(square(PERMAVE) / 0.9744365),0.0003144053961254474,-0.060126875/cos(PERMAVE**2/0.9744365),PySRFunction(X=>-0.060126875/cos(PERMAVE**2/0.9744365))
12,0.16985342,(storminess_logratio_7_90 + 3.2455816) * (-0.018293614 / cos(square(PERMAVE))),0.0014521724981800572,(storminess_logratio_7_90 + 3.2455816)*(-0.018293614)/cos(PERMAVE**2),PySRFunction(X=>(storminess_logratio_7_90 + 3.2455816)*(-0.018293614)/cos(PERMAVE**2))
13,0.1683569,(cos(storminess_logratio_7_90) * -0.09348312) / cos(square(PERMAVE)),0.008849699009313738,cos(storminess_logratio_7_90)*(-0.09348312)/cos(PERMAVE**2),PySRFunction(X=>cos(storminess_logratio_7_90)*(-0.09348312)/cos(PERMAVE**2))
15,0.16710994,(cos(square(storminess_logratio_7_90)) * -0.08997623) / cos(square(PERMAVE)),0.0037171058189391527,cos(storminess_logratio_7_90**2)*(-0.08997623)/cos(PERMAVE**2),PySRFunction(X=>cos(storminess_logratio_7_90**2)*(-0.08997623)/cos(PERMAVE**2))
17,0.16692495,(cos(square(storminess_logratio_7_90)) * -0.09348312) / cos(square(PERMAVE) - -0.04120513),0.0005538044810592319,cos(storminess_logratio_7_90**2)*(-0.09348312)/cos(PERMAVE**2 - 1*(-0.04120513)),PySRFunction(X=>cos(storminess_logratio_7_90**2)*(-0.09348312)/cos(PERMAVE**2 - 1*(-0.04120513)))
19,0.16609465,(cos(square(storminess_logratio_7_90)) * -0.09348312) / ((cos(square(PERMAVE)) + frac_snow) - -0.87515694),0.0024932518099990645,cos(storminess_logratio_7_90**2)*(-0.09348312)/(frac_snow + cos(PERMAVE**2) - 1*(-0.87515694)),PySRFunction(X=>cos(storminess_logratio_7_90**2)*(-0.09348312)/(frac_snow + cos(PERMAVE**2) - 1*(-0.87515694)))
22,0.16602764,sin((cos(square(storminess_logratio_7_90)) * -0.09348312) / ((cos(square(PERMAVE)) + frac_snow) - -0.87515694)),0.00013450868937320238,sin(cos(storminess_logratio_7_90**2)*(-0.09348312)/(frac_snow + cos(PERMAVE**2) - 1*(-0.87515694))),PySRFunction(X=>sin(cos(storminess_logratio_7_90**2)*(-0.09348312)/(frac_snow + cos(PERMAVE**2) - 1*(-0.87515694))))
27,0.16495496,(((cos(square(storminess_logratio_7_90)) * -0.03415681) / square(cos(cos(wetness_90)))) / cos(square(PERMAVE))) / 0.80753267,0.0012963627158896374,cos(storminess_logratio_7_90**2)*(-0.03415681)/(cos(cos(wetness_90))**2*cos(PERMAVE**2)*0.80753267),PySRFunction(X=>cos(storminess_logratio_7_90**2)*(-0.03415681)/(cos(cos(wetness_90))**2*cos(PERMAVE**2)*0.80753267))
29,0.16495495,((cos(square(storminess_logratio_7_90)) * ((0.36537945 / square(cos(cos(wetness_90)))) / cos(square(PERMAVE)))) / 0.80753267) * -0.09348312,3.031130538517684e-08,cos(storminess_logratio_7_90**2)*0.36537945*(-0.09348312)/(cos(cos(wetness_90))**2*cos(PERMAVE**2)*0.80753267),PySRFunction(X=>cos(storminess_logratio_7_90**2)*0.36537945*(-0.09348312)/(cos(cos(wetness_90))**2*cos(PERMAVE**2)*0.80753267))
