split,station_id,samples,lstm_nse,lstm_kge,corrected_nse,corrected_kge
train,02070000,4456,0.7304933761319004,0.7343103283308405,0.7060684209690257,0.6651749684797092
train,02191300,2082,0.9240584061603722,0.9490288959965919,0.9241629931577686,0.9485131811161558
train,02207448,437,0.9291486714360538,0.8778993493408107,0.9271810720117579,0.8630838910186551
train,02232500,2723,0.9109718920973479,0.8757377603736389,0.8955665055242791,0.8083962174265296
train,02245500,3867,0.7710648115876761,0.7083637779732659,0.7506877407845318,0.624288738340583
train,02246459,1162,0.13109744406503365,0.051068956503834695,0.1145109018203988,0.002425197119274358
train,02294217,2572,0.8186174583195447,0.7038379415896077,0.21159627315720786,-0.4720731307268342
train,02307000,3408,0.7158655661178682,0.6080082425937113,0.03985017500630583,-0.49831516482773464
train,02399200,3219,0.9142740541622695,0.8819614869679673,0.9195241732404137,0.9147223198992104
train,02413210,1385,0.9184476792792551,0.9145735481654749,0.917849090848515,0.9096469503411512
train,02423130,3082,0.8016490150184752,0.6908611317680593,0.7913547758822306,0.5879128682403937
train,02455000,3170,0.873656176004166,0.8665984560781347,0.8746713333894727,0.8764230571873864
train,02458450,3075,0.7836555305670097,0.8103026153439344,0.783721465141323,0.8082640748330139
train,02470072,2545,0.7461251527130623,0.7603762156301772,0.16992554577546337,-1.1195684041069875
train,03164000,4398,0.8448832690047984,0.7959642760129836,0.837200015862677,0.8466061497127606
train,07025500,888,0.5918032199009506,0.48096709397666204,0.5854639394081066,0.4717928856703969
train,07058000,2820,0.8407061565670195,0.8212669994362034,0.8429319069801282,0.8342676024263262
train,07071500,3199,0.8977418037547525,0.8442786064269656,0.8992209676564269,0.8521948280623989
train,07076517,2467,0.5698349441349784,0.6329386657972512,0.5704302459619612,0.6416464632133762
train,07281600,2907,0.8768197051482187,0.9265982741237782,0.8867660156932331,0.9378555254323862
train,07369500,2493,0.8789237898589131,0.8780910830893849,0.867718340805997,0.753869901773452
train,07377000,1975,0.8888440750029866,0.875195296831528,0.8881150534175836,0.8476294764493804
val,02070000,1724,0.618771346962327,0.8033513807195775,0.57585408603544,0.7211614115271388
val,02152474,172,-0.06103248978434794,0.20064876204227466,0.33859765272408004,0.42227102691012575
val,02191300,1628,0.731837443219387,0.8537349535252794,0.7322508860179974,0.8532549675925665
val,02207448,1600,0.470004034674116,0.7364213833298864,0.4608825167611479,0.7237028532093499
val,02232500,1702,0.802706545340135,0.7179710428777057,0.7806948853829148,0.6641957725386249
val,02245500,1735,0.678585766379864,0.7470631950300699,0.6548922702273313,0.3254061622157607
val,02246459,651,-0.2538850198446714,0.013605574184986091,-0.487900752810126,-0.7855296228913231
val,02294217,1618,0.6665385394958598,0.6172986350487697,0.07401774874967115,-0.9229317927364922
val,02307000,1653,0.7038322452138646,0.5911609111824581,-0.35411134841176395,-0.9937728769045973
val,02343225,122,0.5870260893547262,-0.06231019600530252,0.7417928119404958,0.34534310349326014
val,02390000,1102,-107.13283978254051,-8.702140917816628,-120.08037208723327,-9.325876654052331
val,02399200,1721,0.7440564906589748,0.6851100125537255,0.7595546795187758,0.7046363273791636
val,02413210,454,0.6597051923658607,0.5807503951176072,0.6461671218419599,0.5537908199280379
val,02423130,1690,0.7202598170439894,0.35448058660172677,0.6975649243329052,0.32864439342151863
val,02455000,1633,0.8185043612549754,0.764073746559874,0.820912436760665,0.7733141464895488
val,02458450,1735,0.7445540642473255,0.8575910185829215,0.7345910296421043,0.7274042703796479
val,02470072,1738,0.6428199260649019,0.640687002918783,-0.03706809223213492,-2.1295149574690284
val,03164000,1689,0.7800576786435814,0.717612835375514,0.7951873481406633,0.8279914459023101
val,03601630,366,-12713.168338791114,-116.43704112674621,-12469.885451218968,-115.88627835823284
val,07058000,1267,0.8196261004577702,0.7172507879944322,0.8256530987111845,0.7376103501500078
val,07071500,1717,0.7648093028389178,0.8024321443630449,0.7652495073312311,0.8102787186741529
val,07076517,1717,0.35132598265952975,0.554345773213175,0.3468444540553791,0.5601253581437478
val,07281600,1708,0.5354431457806019,0.7327666069567228,0.5885126177351014,0.7649990960469242
val,07346045,366,-0.6506208816880659,-0.5921443723003355,-0.36021677733667246,-0.41132617974357943
val,07369500,1723,0.8270157351309521,0.8730488869889598,0.8209179784127915,0.7698834909683074
val,07375960,359,-6.165908706879013,-2.4979898829901206,-5.495877470740657,-2.4243362525695096
val,07377000,1632,0.7854234271105313,0.783721972041586,0.7959923628753213,0.780577653528657
val,08039100,25,-0.23648529596090162,-0.45733839226613404,-0.22305947877646815,-0.43400961698656193
test,02070000,2415,0.7317986459511627,0.8205976674514558,0.7246532504027592,0.808552448861516
test,02152474,2449,0.5265676809149593,0.7659928292509722,0.4954912907901746,0.7312388081520774
test,02191300,2437,0.6308564414211048,0.6719501705674802,0.6322665159388285,0.6731749511752123
test,02207448,2329,-0.1600084317920678,0.0851100130761614,-0.11822437687971221,0.13098312887678432
test,02232500,2447,0.3832213854789521,0.38464890495360193,0.3793173442425136,0.3623134578703341
test,02245500,2404,0.29587629164706686,0.6176708625595606,0.36246429295696336,0.5633578077877439
test,02246459,568,-2.3693567170438636,-0.99793689342714,-4.1082270777584515,-2.384375599797839
test,02294217,2321,0.2679607624120134,0.31726552682485043,-2.1183225033317608,-1.9143571219390658
