complexity,loss,equation,score,sympy_format,lambda_format
1,0.05383231,-0.0068142354,0.0,-0.00681423540000000,PySRFunction(X=>-0.00681423540000000)
3,0.052475546,lstm_pred_raw * -0.038258877,0.012763286959345602,lstm_pred_raw*(-0.038258877),PySRFunction(X=>lstm_pred_raw*(-0.038258877))
5,0.0499317,(ELEV_MEAN_M_BASIN * 0.07590193) * lstm_pred_raw,0.02484559950383155,ELEV_MEAN_M_BASIN*0.07590193*lstm_pred_raw,PySRFunction(X=>ELEV_MEAN_M_BASIN*0.07590193*lstm_pred_raw)
7,0.047805343,square(lstm_pred_raw * -0.1282347) * SLOPE_PCT,0.021759330053138477,SLOPE_PCT*(0.01644413828409*lstm_pred_raw**2),PySRFunction(X=>SLOPE_PCT*(0.01644413828409*lstm_pred_raw**2))
9,0.047556203,((SLOPE_PCT - CLAYAVE) * square(lstm_pred_raw)) * 0.016394705,0.0026125894272417136,(-CLAYAVE + SLOPE_PCT)*lstm_pred_raw**2*0.016394705,PySRFunction(X=>(-CLAYAVE + SLOPE_PCT)*lstm_pred_raw**2*0.016394705)
11,0.047033463,(square(lstm_pred_raw) * ((TOPWET - 1.4847288) * -0.020042267)) * for_pc_use,0.0055264527710156145,lstm_pred_raw**2*(TOPWET - 1*1.4847288)*(-0.020042267)*for_pc_use,PySRFunction(X=>lstm_pred_raw**2*(TOPWET - 1*1.4847288)*(-0.020042267)*for_pc_use)
14,0.046745397,(tanh(0.5704325 - (TOPWET + CLAYAVE)) * square(lstm_pred_raw)) * 0.071302235,0.002047845367565612,tanh(0.5704325 - (CLAYAVE + TOPWET))*lstm_pred_raw**2*0.071302235,PySRFunction(X=>tanh(0.5704325 - (CLAYAVE + TOPWET))*lstm_pred_raw**2*0.071302235)
18,0.04664075,(square(lstm_pred_raw) * tanh((TOPWET * (TOPWET - (for_pc_use + crp_pc_use))) / 0.41623476)) * 0.071302235,0.0005602921159283674,lstm_pred_raw**2*tanh(TOPWET*(TOPWET - (crp_pc_use + for_pc_use))/0.41623476)*0.071302235,PySRFunction(X=>lstm_pred_raw**2*tanh(TOPWET*(TOPWET - (crp_pc_use + for_pc_use))/0.41623476)*0.071302235)
21,0.046556912,(((TOPWET / exp(TOPWET)) * (TOPWET - aridity_index)) - 0.07600158) * ((-0.05696773 * TOPWET) * square(lstm_pred_raw)),0.0005997147769275257,(TOPWET*(TOPWET - aridity_index)/exp(TOPWET) - 1*0.07600158)*(-0.05696773)*TOPWET*lstm_pred_raw**2,PySRFunction(X=>(TOPWET*(TOPWET - aridity_index)/exp(TOPWET) - 1*0.07600158)*(-0.05696773)*TOPWET*lstm_pred_raw**2)
25,0.04654229,((((TOPWET - (for_pc_use + TOPWET)) / exp(TOPWET)) * ((TOPWET - aridity_index) - 0.07600158)) * (square(lstm_pred_raw) * -0.05696773)) * TOPWET,7.852913776975825e-05,(TOPWET - (TOPWET + for_pc_use))*(TOPWET - aridity_index - 1*0.07600158)*lstm_pred_raw**2*(-0.05696773)*TOPWET/exp(TOPWET),PySRFunction(X=>(TOPWET - (TOPWET + for_pc_use))*(TOPWET - aridity_index - 1*0.07600158)*lstm_pred_raw**2*(-0.05696773)*TOPWET/exp(TOPWET))
26,0.04646238,(square(lstm_pred_raw) * tanh((((TOPWET - (crp_pc_use + for_pc_use)) / (TOPWET * 0.8428927)) * (TOPWET - (aridity_index - -0.22788306))) * TOPWET)) * 0.071302235,0.0017184087565505614,lstm_pred_raw**2*tanh(TOPWET*(TOPWET - (aridity_index - 1*(-0.22788306)))*(TOPWET - (crp_pc_use + for_pc_use))/((TOPWET*0.8428927)))*0.071302235,PySRFunction(X=>lstm_pred_raw**2*tanh(TOPWET*(TOPWET - (aridity_index - 1*(-0.22788306)))*(TOPWET - (crp_pc_use + for_pc_use))/((TOPWET*0.8428927)))*0.071302235)
30,0.04645923,((TOPWET - ((crp_pc_use + for_pc_use) / exp(-0.08178886))) * tanh(TOPWET)) * (((TOPWET - (aridity_index - -0.27035832)) / TOPWET) * (0.071302235 * square(lstm_pred_raw))),1.694977089401528e-05,(TOPWET - (crp_pc_use + for_pc_use)/exp(-0.08178886))*tanh(TOPWET)*(TOPWET - (aridity_index - 1*(-0.27035832)))*0.071302235*lstm_pred_raw**2/TOPWET,PySRFunction(X=>(TOPWET - (crp_pc_use + for_pc_use)/exp(-0.08178886))*tanh(TOPWET)*(TOPWET - (aridity_index - 1*(-0.27035832)))*0.071302235*lstm_pred_raw**2/TOPWET)
