idx,tag,lr,dropout,hidden_size,batch_size,lookback_days,epochs_cap,epochs_ran,train_seconds,selection_metric,val_median_nse,val_median_kge,test_median_nse,test_median_kge,run_dir
4,idx4_lr0.0005_bs512_lb180_hs256_do0.4_lossnse_loss,0.0005,0.4,256,512,180,55,55,589.6191215515137,0.704676003156929,0.704676003156929,0.632652809652527,0.530864124527071,0.5626969849034791,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx4_lr0.0005_bs512_lb180_hs256_do0.4_lossnse_loss
15,idx15_lr0.0001_bs256_lb90_hs512_do0.2_lossnse_loss,0.0001,0.2,512,256,90,55,55,974.7145583629608,0.6718289869199258,0.6718289869199258,0.5821382635489941,0.4987817356212317,0.5409821343384411,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx15_lr0.0001_bs256_lb90_hs512_do0.2_lossnse_loss
10,idx10_lr0.001_bs128_lb180_hs256_do0.2_lossnse_loss,0.001,0.2,256,128,180,55,34,1193.6196925640106,0.6641348787001695,0.6641348787001695,0.6519109403900251,0.6419208129673705,0.6961334859469703,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx10_lr0.001_bs128_lb180_hs256_do0.2_lossnse_loss
13,idx13_lr0.0005_bs128_lb180_hs512_do0.2_lossnse_loss,0.0005,0.2,512,128,180,55,26,930.815678358078,0.6639505459326294,0.6639505459326294,0.6098392588213042,0.6135941296407974,0.6616372913627375,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx13_lr0.0005_bs128_lb180_hs512_do0.2_lossnse_loss
9,idx9_lr0.001_bs128_lb90_hs128_do0.2_lossnse_loss,0.001,0.2,128,128,90,55,30,712.6338787078857,0.6631219224813721,0.6631219224813721,0.6628984101689163,0.5777190450159493,0.6400164337273261,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx9_lr0.001_bs128_lb90_hs128_do0.2_lossnse_loss
3,idx3_lr0.0005_bs512_lb365_hs256_do0.4_lossnse_loss,0.0005,0.4,256,512,365,55,43,524.199987411499,0.6556259279240391,0.6556259279240391,0.6375110684860152,0.5814359090844037,0.6725303337808769,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx3_lr0.0005_bs512_lb365_hs256_do0.4_lossnse_loss
2,idx2_lr0.0005_bs256_lb180_hs256_do0.4_lossnse_loss,0.0005,0.4,256,256,180,55,43,842.3706073760986,0.6484688789133614,0.6484688789133614,0.6592216882560721,0.6309962235323863,0.672702829970798,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx2_lr0.0005_bs256_lb180_hs256_do0.4_lossnse_loss
1,idx1_lr0.0005_bs256_lb365_hs256_do0.4_lossnse_loss,0.0005,0.4,256,256,365,55,41,977.4431829452515,0.6475693398933007,0.6475693398933007,0.5904673954505417,0.666872211468833,0.6498392317058591,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx1_lr0.0005_bs256_lb365_hs256_do0.4_lossnse_loss
12,idx12_lr0.0005_bs128_lb90_hs128_do0.2_lossnse_loss,0.0005,0.2,128,128,90,55,34,816.0875680446625,0.6414577203439722,0.6414577203439722,0.5603436442593268,0.5743870574192245,0.6288350385204341,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx12_lr0.0005_bs128_lb90_hs128_do0.2_lossnse_loss
8,idx8_lr0.0001_bs512_lb180_hs256_do0.4_lossnse_loss,0.0001,0.4,256,512,180,55,44,490.63728427886963,0.6332451232862839,0.6332451232862839,0.5448602474768551,0.47497051934401147,0.5401583985316549,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx8_lr0.0001_bs512_lb180_hs256_do0.4_lossnse_loss
6,idx6_lr0.0001_bs256_lb180_hs256_do0.4_lossnse_loss,0.0001,0.4,256,256,180,55,34,673.1018195152283,0.6308308911702547,0.6308308911702547,0.53721757747414,0.535151764083467,0.5797406686403677,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx6_lr0.0001_bs256_lb180_hs256_do0.4_lossnse_loss
5,idx5_lr0.0001_bs256_lb365_hs256_do0.4_lossnse_loss,0.0001,0.4,256,256,365,55,37,895.439947605133,0.6222226065817289,0.6222226065817289,0.6225195930288066,0.5547601824087516,0.5416739733901816,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx5_lr0.0001_bs256_lb365_hs256_do0.4_lossnse_loss
16,idx16_lr0.0001_bs256_lb180_hs512_do0.6_lossnse_loss,0.0001,0.6,512,256,180,55,49,996.0773677825928,0.6184831404781936,0.6184831404781936,0.5902620986943549,0.5398118960328363,0.5403731166814927,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx16_lr0.0001_bs256_lb180_hs512_do0.6_lossnse_loss
11,idx11_lr0.001_bs128_lb365_hs256_do0.4_lossnse_loss,0.001,0.4,256,128,365,55,23,1027.9095177650452,0.6180368404689398,0.6180368404689398,0.5989483914927753,0.6103161644430128,0.6107340510663745,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx11_lr0.001_bs128_lb365_hs256_do0.4_lossnse_loss
7,idx7_lr0.0001_bs512_lb365_hs256_do0.4_lossnse_loss,0.0001,0.4,256,512,365,55,32,393.86885023117065,0.5963963906993581,0.5963963906993581,0.5479312278871438,0.5208567890465614,0.532670428249982,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx7_lr0.0001_bs512_lb365_hs256_do0.4_lossnse_loss
14,idx14_lr0.0005_bs128_lb365_hs512_do0.6_lossnse_loss,0.0005,0.6,512,128,365,55,29,1341.533630847931,0.5884232621003016,0.5884232621003016,0.5796139797760471,0.5642972843769223,0.5438474804761828,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/baseline_lstm_daily_s2_random30_tuning/runs/idx14_lr0.0005_bs128_lb365_hs512_do0.6_lossnse_loss
