lr,weight_decay,best_epoch,best_val_kge,best_val_nse,model_path
0.005,0.0001,13,0.18484478731329212,-0.03700537660674519,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_12_lr0.005_wd0.0001.pth
0.001,0.0,5,0.17190978976231142,-0.031867785818492755,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_07_lr0.001_wd0.pth
0.001,1e-05,8,0.16307688084407762,-0.050173809463023356,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_08_lr0.001_wd1e-05.pth
0.0005,0.0,21,0.16265534417100874,-0.0422739627728444,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_04_lr0.0005_wd0.pth
0.0005,1e-05,12,0.16014624015907625,-0.04635761263984495,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_05_lr0.0005_wd1e-05.pth
0.005,1e-05,18,0.14052219480579575,-0.04139430232405317,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_11_lr0.005_wd1e-05.pth
0.0005,0.0001,11,0.14020593701094808,-0.07318338947558639,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_06_lr0.0005_wd0.0001.pth
0.001,0.0001,7,0.13362041314942763,-0.04833249683736135,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_09_lr0.001_wd0.0001.pth
0.005,0.0,15,0.10470694829380267,-0.0428992167694755,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_10_lr0.005_wd0.pth
0.0001,1e-05,2,0.022416415465825512,-0.15748756242419615,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_02_lr0.0001_wd1e-05.pth
0.0001,0.0,2,0.022300237844382398,-0.158978805543723,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_01_lr0.0001_wd0.pth
0.0001,0.0001,2,0.021432405670280152,-0.15772323885844486,/home/kongw0a/hourly_streamflow_dl/MTSLSTM_100stations/outputs/transfer_daily_head_tune_s2_random30/trials/trial_03_lr0.0001_wd0.0001.pth
