station_id,STANAME,DRAIN_SQKM_x,HUC02,lat,lon,STATE,BOUND_SOURCE,HCDN_2009,HBN36,OLD_HCDN,NSIP_SENTINEL,FIPS_SITE,COUNTYNAME_SITE,NAWQA_SUID,p_mean,pet_mean,aridity_index,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,DRAIN_SQKM_y,ELEV_MEAN_M_BASIN,ELEV_STD_M_BASIN,SLOPE_PCT,RRMEAN,RRMEDIAN,BAS_COMPACTNESS,STREAMS_KM_SQ_KM,STRAHLER_MAX,TOPWET,CLAYAVE,SANDAVE,AWCAVE,PERMAVE,BDAVE,for_pc_use,crp_pc_use,urb_pc_use,selection_seed,selection_region,selection_note,train_samples,train_score_status,train_exclusion_reason,train_nse,train_kge,val_samples,val_score_status,val_exclusion_reason,val_nse,val_kge,test_samples,test_score_status,test_exclusion_reason,test_nse,test_kge
10250800,DARWIN C NR DARWIN CA,452.5812,18,36.32049645,-117.52395474,CA,1,,,,,6027,Inyo,,0.449304097341364,7.49533221238669,16.6820918320983,-0.942444462586743,0.0450259450716271,17.2762669586908,1.59426229508197,338.152947618179,22.593471810089,452.5812,1624.509,269.9158,14.46464,0.427454791553871,0.42122360584732,2.14842956719868,0.802847754170964,4,10.42101,12.04676,56.25073,0.07014243,6.595017,1.500094,3.22012978,0.0,0.08908899,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",0,excluded,no_valid_windows,,,0,excluded,no_valid_windows,,,0,excluded,no_valid_windows,,
10260500,DEEP C NR HESPERIA CA,349.2297,18,34.3411142,-117.22837605,CA,1,,,,,6071,San Bernardino,,1.52543538090892,6.69005158191884,4.38566698114252,-1.22884127674602,0.0936778915883883,17.8758289225528,1.58464566929134,318.434020806717,13.9494163424125,349.2297,1783.432,322.8949,18.85647,0.525878239903556,0.517179023508137,1.65918650436647,1.07305564217476,4,10.17521,11.92772,63.8946,0.0753985,7.949363,1.568128,30.9837089,0.01159695,10.09192512,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",88974,ok,,-40.085390692546014,-31.145100217023902,28153,ok,,-63.21458183381701,-49.23392756450759,37840,ok,,-112.68583462039835,-57.51003061950134
10260865,GRASS VALLEY C BL GRASS VLY LK NR LK ARROWHEAD CA,6.7167,18,34.263611,-117.218056,CA,1,,,,,6071,San Bernardino,,1.90469134988136,6.80172969519986,3.5710403660013,-1.27276495282899,0.0113386760361255,17.8314169252297,1.57142857142857,320.254912696964,15.1015706806283,6.7167,1664.361,60.67513,14.93433,0.339,0.321070234113712,2.84461975097656,0.596720115532925,1,9.947565,12.78198,64.17495,0.0864953,7.032866,1.5464015,47.1660154,0.0,43.373976,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",0,excluded,no_valid_windows,,,0,excluded,no_valid_windows,,,29768,ok,,-362.78378209490495,-77.52803463426199
10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,175.0671,18,34.33889196,-117.25782126,CA,3,,,,,6071,San Bernardino,,1.53749332037476,6.76013532274746,4.39685508428725,-1.30653994915015,0.004507965380229,17.964652917199,1.54980842911877,323.163898521628,15.4984025559105,175.0671,1271.65,212.9784,20.21562,0.361783783783784,0.337297297297297,2.09929022700879,0.968344137762035,4,10.29251,13.38881,58.34072,0.09034716,5.466043,1.530332,29.20279889,0.02107763,8.924577783,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",0,excluded,no_valid_windows,,,8776,ok,,-442.49077712226494,-48.49940878997832,50710,ok,,-1416.5927610649837,-53.04719646056154
10289500,"Green Creek near Bridgeport, CA",50.7591,16,38.17380969,-119.2337656,CA,1,,,,,6051,Mono,,1.67763071612825,3.71509110543286,2.21448681746052,-0.93466233115775,0.855051714363391,19.6078968181542,1.55731922398589,289.366368558739,8.70474281897128,50.7591,2912.594,356.5926,38.72381,0.50218347509113,0.520048602673147,1.36591601308203,0.790375912890496,3,9.662569,10.70914,57.21408,0.07245553,5.670228,1.149589,17.9577618,0.0,0.0,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",0,excluded,no_valid_windows,,,26459,ok,,-3183.2658253897675,-59.07376715722164,44569,ok,,-3583.233117345326,-76.88224694382637
10291500,"Buckeye C nr Bridgeport, CA",113.6448,16,38.23880787,-119.3259923,CA,1,,,,,6051,Mono,,2.07745113250593,3.87419849120886,1.86488068508047,-0.860603602661143,0.807728220966582,20.1408407860315,1.52693602693603,279.284845166393,8.02616464582004,113.6448,2801.766,310.0816,36.92357,0.464557922769641,0.478695073235686,1.97260454693003,0.692998799769105,3,9.459205,7.103097,67.31662,0.05720996,8.896628,1.32881,24.0567993,0.0,0.0,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",57800,ok,,-1497.8629776789994,-37.1097259234621,29880,ok,,-943.4584749942683,-29.39693489651059,45575,ok,,-1775.777002702861,-41.34342560088758
10296000,"W WALKER R BLW L WALKER R NR COLEVILLE, CA",467.4168,16,38.37963662,-119.45016488,CA,1,,,yes,yes,6051,Mono,,2.05985304222182,4.07013334075561,1.97593384446759,-0.910032239928877,0.721337705298056,19.3858368315386,1.54513274336283,279.062785179777,8.01978302488832,467.4168,2695.877,332.3589,26.82365,0.455732225913621,0.480398671096346,2.05759963639499,0.798557518685678,5,10.03921,10.71486,57.63382,0.06880828,5.760738,1.2166385,19.1086184382,0.0,0.7553644500000001,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",92787,ok,,-33.008031043594265,-7.589707505365094,32448,ok,,-28.090999269072746,-7.725914032334076,44759,ok,,-47.19699883897098,-10.508347917607772
10296500,"W WALKER R NR COLEVILLE, CA",632.1213,16,38.51324495,-119.44988719,CA,1,,,yes,,6051,Mono,,1.92773290375373,4.14230843675853,2.14879791110715,-0.903573394828132,0.642784738944484,19.1415708462615,1.53108348134991,281.039119060656,8.0765794511806,632.1213,2622.584,350.8444,26.93836,0.515780792186652,0.51709169831796,1.51714721802397,0.754099252785818,5,9.934584,11.73149,56.9283,0.06976694,5.451672,1.2734845,17.9905703887,0.0,0.7896269400000001,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",92578,ok,,-30.621527723044352,-6.898791662702949,34680,ok,,-26.625904563977468,-6.776515342202936,52080,ok,,-42.728716847702565,-9.602741266345456
10310000,"WEST FORK CARSON RIVER AT WOODFORDS, CA",169.3294,16,38.76962765,-119.83378908,CA,4,,,yes,yes,6003,Alpine,nvbr,2.86410146900286,4.22919372148202,1.47662147003277,-0.952846708559157,0.663151689175749,21.11790472714,1.57190082644628,268.8258197968,7.42244022072348,169.3294,2460.679,225.417,24.52171,0.455397926117952,0.442644199611147,1.95019589030475,0.779631298522289,3,10.35387,4.92896,76.90104,0.06411474,12.30062,1.419744,41.59017236,0.0,1.3277134000000002,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",83619,ok,,-458.7258274711563,-25.089219797344917,33888,ok,,-431.5985434247622,-27.06613723166285,48071,ok,,-906.5752958105626,-35.976355732120105
11051499,SANTA ANA R NR MENTONE (RIVER ONLY) CA,542.2689,18,34.108345,-117.100591,CA,1,,,,,6071,San Bernardino,,1.60043582204782,6.40166117448441,3.99994869290868,-1.20394131334893,0.257701796845691,18.6308328770457,1.57706766917293,315.214151000791,12.9398359161349,542.2689,2071.039,481.822,27.15545,0.518090207090207,0.541242541242541,1.62990956351954,0.966691248566901,4,10.06907,11.38682,60.7242,0.06752877,7.719143,1.5172255,49.0769598,0.001161785,10.80626136,42,S1 Csb-CA,"Figure-inferred box lon=[-123.0, -117.0], lat=[33.8, 39.2], state=CA; requested 30, selected 30",74168,ok,,-315.2704145924912,-58.62806408359602,34752,ok,,-241.2818270448201,-35.35147827041824,51983,ok,,-298.63159047200014,-73.46000666132817
