station_id,split,model,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
10250800,train,baseline,,0,0,0
10260500,train,baseline,2.0,3,49,7
10260865,train,baseline,,0,0,0
10260950,train,baseline,,0,0,0
10289500,train,baseline,,0,0,0
10291500,train,baseline,-6.0625,16,17,1281
10296000,train,baseline,2.75,4,178,1381
10296500,train,baseline,9.367965367965368,231,350,1465
10310000,train,baseline,14.571428571428571,21,100,836
11051499,train,baseline,,0,34,75
11092450,train,baseline,-2.3333333333333335,9,15,75
11113000,train,baseline,-3.0,1,57,1
11140585,train,baseline,1.0,3,4,122
11147070,train,baseline,,0,0,0
11151870,train,baseline,,0,0,0
11154700,train,baseline,-4.0,4,4,92
11170000,train,baseline,,0,0,0
11172175,train,baseline,-3.0,1,67,1
11173500,train,baseline,,0,0,4
11174000,train,baseline,49.0,1,2,36
11176900,train,baseline,,0,0,0
11203580,train,baseline,-10.0,1,3,2
11204100,train,baseline,-8.5,2,10,3
11204900,train,baseline,,0,0,0
11274790,train,baseline,,0,0,0
11335655,train,baseline,,0,0,0
11447360,train,baseline,-44.0,7,150,593
11451715,train,baseline,-48.0,1,64,448
11466065,train,baseline,,0,0,0
11466200,train,baseline,20.555555555555557,9,41,93
10250800,train,transfer,,0,0,0
10260500,train,transfer,-1.8,40,49,108
10260865,train,transfer,,0,0,0
10260950,train,transfer,,0,0,0
10289500,train,transfer,,0,0,0
10291500,train,transfer,12.307692307692308,13,17,1085
10296000,train,transfer,,0,178,1063
10296500,train,transfer,17.4,20,350,1448
10310000,train,transfer,7.2,25,100,800
11051499,train,transfer,0.75,20,34,1311
11092450,train,transfer,35.0,1,15,7
11113000,train,transfer,-6.4,40,57,1646
11140585,train,transfer,-15.5,4,4,140
11147070,train,transfer,,0,0,0
11151870,train,transfer,,0,0,0
11154700,train,transfer,2.5,4,4,2626
11170000,train,transfer,,0,0,0
11172175,train,transfer,20.0,2,67,6
11173500,train,transfer,,0,0,168
11174000,train,transfer,4.5,2,2,449
11176900,train,transfer,,0,0,0
11203580,train,transfer,-10.0,1,3,576
