station_id,split,model,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
02075500,train,baseline,-0.1437125748502994,167,217,187
02091814,train,baseline,14.0,28,54,97
02207400,train,baseline,1.4666666666666666,15,17,47
02208130,train,baseline,,0,0,0
02217274,train,baseline,3.5,4,6,6
02294330,train,baseline,,0,0,0
02325000,train,baseline,-15.5,12,15,281
02404400,train,baseline,2.828125,64,121,68
02405500,train,baseline,1.5921052631578947,76,164,83
02422500,train,baseline,5.430769230769231,130,169,152
02423496,train,baseline,0.11224489795918367,98,174,110
02446500,train,baseline,-6.5777777777777775,45,89,107
02447025,train,baseline,,0,0,0
02458300,train,baseline,10.705014749262537,339,455,380
03407908,train,baseline,,0,0,0
03471500,train,baseline,-1.7619047619047619,84,103,123
03478400,train,baseline,0.3333333333333333,18,24,118
03526000,train,baseline,-2.5588235294117645,34,52,41
03535000,train,baseline,-0.7333333333333333,15,19,19
07024000,train,baseline,4.13,100,247,105
07029500,train,baseline,-3.896551724137931,58,75,295
07053500,train,baseline,,0,0,0
07338500,train,baseline,-17.914529914529915,117,143,279
07338750,train,baseline,-0.14285714285714285,126,190,147
07373000,train,baseline,-2.76,50,81,58
07386980,train,baseline,18.87323943661972,71,168,90
08010000,train,baseline,-16.025,40,164,50
08013500,train,baseline,-4.594594594594595,37,53,157
08033900,train,baseline,,0,0,0
08040600,train,baseline,5.853658536585366,41,66,572
02075500,train,transfer,-1.58125,160,217,246
02091814,train,transfer,13.166666666666666,24,54,100
02207400,train,transfer,-0.47058823529411764,17,17,60
02208130,train,transfer,,0,0,0
02217274,train,transfer,-0.2,5,6,30
02294330,train,transfer,,0,0,0
02325000,train,transfer,-8.0,11,15,193
02404400,train,transfer,-5.275229357798165,109,121,210
02405500,train,transfer,-9.192307692307692,156,164,318
02422500,train,transfer,7.592592592592593,108,169,339
02423496,train,transfer,-2.8417721518987342,158,174,251
02446500,train,transfer,-8.313432835820896,67,89,375
02447025,train,transfer,,0,0,0
02458300,train,transfer,12.140718562874252,334,455,383
03407908,train,transfer,,0,0,0
03471500,train,transfer,-9.406593406593407,91,103,241
03478400,train,transfer,3.0416666666666665,24,24,578
03526000,train,transfer,-7.371428571428571,35,52,83
03535000,train,transfer,-3.4210526315789473,19,19,72
07024000,train,transfer,3.103448275862069,174,247,238
07029500,train,transfer,0.6774193548387096,62,75,531
07053500,train,transfer,,0,0,0
07338500,train,transfer,-11.992248062015504,129,143,498
07338750,train,transfer,-4.371584699453552,183,190,630
07373000,train,transfer,0.027777777777777776,72,81,225
07386980,train,transfer,20.10576923076923,104,168,149
08010000,train,transfer,-11.944444444444445,144,164,359
08013500,train,transfer,-10.166666666666666,48,53,342
08033900,train,transfer,,0,0,0
08040600,train,transfer,-2.073170731707317,41,66,704
02075500,train,symbolic,-0.5308641975308642,162,217,216
02091814,train,symbolic,16.823529411764707,34,54,110
02207400,train,symbolic,-0.8823529411764706,17,17,52
02208130,train,symbolic,,0,0,0
02217274,train,symbolic,0.8333333333333334,6,6,26
02294330,train,symbolic,,0,0,0
02325000,train,symbolic,-7.769230769230769,13,15,341
02404400,train,symbolic,-4.30188679245283,106,121,184
02405500,train,symbolic,-7.90625,160,164,340
02422500,train,symbolic,10.58095238095238,105,169,302
02423496,train,symbolic,-4.339869281045751,153,174,236
02446500,train,symbolic,-8.366666666666667,60,89,228
02447025,train,symbolic,,0,0,0
02458300,train,symbolic,10.706051873198847,347,455,404
03407908,train,symbolic,,0,0,0
03471500,train,symbolic,-6.634408602150538,93,103,281
03478400,train,symbolic,3.0,19,24,423
03526000,train,symbolic,-7.155555555555556,45,52,141
03535000,train,symbolic,-3.4210526315789473,19,19,90
07024000,train,symbolic,4.4393063583815024,173,247,222
07029500,train,symbolic,-6.095238095238095,63,75,448
07053500,train,symbolic,,0,0,0
07338500,train,symbolic,-13.46031746031746,126,143,389
07338750,train,symbolic,-3.235294117647059,187,190,885
07373000,train,symbolic,1.3714285714285714,70,81,189
07386980,train,symbolic,13.878048780487806,82,168,140
08010000,train,symbolic,-11.162790697674419,129,164,222
08013500,train,symbolic,-7.8604651162790695,43,53,182
08033900,train,symbolic,,0,0,0
08040600,train,symbolic,11.235294117647058,17,66,489
02075500,val,baseline,0.3888888888888889,54,66,62
02091814,val,baseline,5.708333333333333,24,30,94
02207400,val,baseline,5.25,12,12,58
02208130,val,baseline,5.5,2,5,21
02217274,val,baseline,,0,0,5
02294330,val,baseline,,0,0,0
02325000,val,baseline,-13.5,4,5,70
02404400,val,baseline,9.125,16,75,16
02405500,val,baseline,11.5,14,60,15
02422500,val,baseline,4.2,60,84,64
02423496,val,baseline,16.333333333333332,18,92,18
02446500,val,baseline,3.6666666666666665,12,32,37
02447025,val,baseline,44.41463414634146,41,104,43
02458300,val,baseline,12.771739130434783,92,118,98
03407908,val,baseline,16.714285714285715,7,47,7
03471500,val,baseline,-3.1818181818181817,22,24,47
03478400,val,baseline,3.0,1,3,28
03526000,val,baseline,,0,0,0
03535000,val,baseline,3.375,16,35,16
07024000,val,baseline,10.142857142857142,35,112,37
07029500,val,baseline,-7.217391304347826,23,23,106
07053500,val,baseline,29.22222222222222,36,207,45
07338500,val,baseline,-17.0,34,41,63
07338750,val,baseline,0.6595744680851063,47,58,52
07373000,val,baseline,-3.0588235294117645,17,26,23
07386980,val,baseline,19.08235294117647,85,195,136
08010000,val,baseline,-9.884615384615385,26,82,31
08013500,val,baseline,-12.857142857142858,21,28,105
08033900,val,baseline,,0,0,0
08040600,val,baseline,-0.42857142857142855,21,31,164
02075500,val,transfer,0.0,53,66,87
02091814,val,transfer,10.823529411764707,17,30,91
02207400,val,transfer,6.166666666666667,12,12,75
02208130,val,transfer,2.8,5,5,43
02217274,val,transfer,,0,0,40
02294330,val,transfer,,0,0,0
02325000,val,transfer,2.5,4,5,59
02404400,val,transfer,-3.984375,64,75,95
02405500,val,transfer,-4.530612244897959,49,60,66
02422500,val,transfer,11.03921568627451,51,84,84
02423496,val,transfer,-3.4305555555555554,72,92,85
02446500,val,transfer,-8.958333333333334,24,32,143
02447025,val,transfer,26.580645161290324,31,104,50
02458300,val,transfer,13.184782608695652,92,118,100
03407908,val,transfer,4.407407407407407,27,47,47
03471500,val,transfer,-8.782608695652174,23,24,120
03478400,val,transfer,9.333333333333334,3,3,227
03526000,val,transfer,,0,0,0
03535000,val,transfer,-4.742857142857143,35,35,91
07024000,val,transfer,3.8285714285714287,70,112,96
07029500,val,transfer,7.7368421052631575,19,23,216
07053500,val,transfer,24.066666666666666,45,207,79
07338500,val,transfer,-9.55,40,41,136
07338750,val,transfer,-3.206896551724138,58,58,234
07373000,val,transfer,-0.84,25,26,80
07386980,val,transfer,12.727272727272727,110,195,163
08010000,val,transfer,-11.464788732394366,71,82,188
08013500,val,transfer,-6.086956521739131,23,28,241
08033900,val,transfer,,0,0,0
08040600,val,transfer,6.571428571428571,21,31,224
02075500,val,symbolic,-0.2692307692307692,52,66,75
02091814,val,symbolic,11.263157894736842,19,30,89
02207400,val,symbolic,6.583333333333333,12,12,65
02208130,val,symbolic,3.25,4,5,27
02217274,val,symbolic,,0,0,32
02294330,val,symbolic,,0,0,0
02325000,val,symbolic,0.0,4,5,100
02404400,val,symbolic,-4.8,65,75,93
02405500,val,symbolic,-7.107142857142857,56,60,104
02422500,val,symbolic,7.019607843137255,51,84,103
