station_id,split,model,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
02070000,train,baseline,6.030075187969925,133,211,153
02191300,train,baseline,-2.75,72,76,104
02207448,train,baseline,-8.434782608695652,23,25,36
02232500,train,baseline,50.526315789473685,95,456,380
02245500,train,baseline,4.478260869565218,69,105,558
02246459,train,baseline,20.544303797468356,79,559,215
02294217,train,baseline,-1.9,10,11,598
02307000,train,baseline,-12.323529411764707,34,35,639
02399200,train,baseline,-1.7121212121212122,66,106,80
02413210,train,baseline,-6.073170731707317,41,63,44
02423130,train,baseline,8.683333333333334,60,123,68
02455000,train,baseline,3.1272727272727274,110,161,135
02458450,train,baseline,9.403225806451612,310,450,340
02470072,train,baseline,3.4782608695652173,23,79,26
03164000,train,baseline,3.269230769230769,130,164,154
07025500,train,baseline,4.392857142857143,28,59,34
07058000,train,baseline,-4.913043478260869,46,52,94
07071500,train,baseline,-10.837837837837839,37,38,110
07076517,train,baseline,23.2972972972973,74,538,107
07281600,train,baseline,-3.6842105263157894,19,24,216
07369500,train,baseline,-5.666666666666667,60,64,291
07377000,train,baseline,-3.6666666666666665,54,60,137
02070000,train,transfer,-1.868421052631579,190,211,434
02191300,train,transfer,-4.478260869565218,69,76,126
02207448,train,transfer,-3.52,25,25,34
02232500,train,transfer,47.22429906542056,321,456,434
02245500,train,transfer,0.14814814814814814,81,105,223
02246459,train,transfer,24.746031746031747,63,559,153
02294217,train,transfer,-1.2,10,11,155
02307000,train,transfer,-10.142857142857142,35,35,418
02399200,train,transfer,1.3529411764705883,102,106,182
02413210,train,transfer,-12.05084745762712,59,63,119
02423130,train,transfer,3.3168316831683167,101,123,219
02455000,train,transfer,0.9565217391304348,138,161,214
02458450,train,transfer,7.508670520231214,346,450,389
02470072,train,transfer,-2.4444444444444446,54,79,130
03164000,train,transfer,1.673913043478261,138,164,172
07025500,train,transfer,3.775,40,59,48
07058000,train,transfer,-1.9387755102040816,49,52,161
07071500,train,transfer,-7.891891891891892,37,38,137
07076517,train,transfer,34.317460317460316,189,538,247
07281600,train,transfer,6.523809523809524,21,24,228
07369500,train,transfer,-15.688524590163935,61,64,341
07377000,train,transfer,-4.480769230769231,52,60,148
02070000,train,symbolic,-2.8627450980392157,204,211,597
02191300,train,symbolic,-4.589041095890411,73,76,148
02207448,train,symbolic,-3.217391304347826,23,25,31
02232500,train,symbolic,47.04,300,456,408
02245500,train,symbolic,0.1,70,105,228
02246459,train,symbolic,23.308943089430894,123,559,221
02294217,train,symbolic,-6.2,10,11,142
02307000,train,symbolic,-8.909090909090908,33,35,830
02399200,train,symbolic,4.117021276595745,94,106,174
02413210,train,symbolic,-12.379310344827585,58,63,90
02423130,train,symbolic,3.18,100,123,197
02455000,train,symbolic,2.511278195488722,133,161,181
02458450,train,symbolic,10.15987460815047,319,450,350
02470072,train,symbolic,-0.3333333333333333,48,79,118
03164000,train,symbolic,1.673758865248227,141,164,174
07025500,train,symbolic,7.275,40,59,54
07058000,train,symbolic,-5.1063829787234045,47,52,172
