station_id,split,model,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
01030500,train,baseline,-16.17241379310345,29,40,440
01031300,train,baseline,0.11320754716981132,53,59,226
01054200,train,baseline,7.218390804597701,87,138,131
01073319,train,baseline,,0,0,0
01081000,train,baseline,5.372093023255814,43,58,294
01085000,train,baseline,,0,0,0
01089500,train,baseline,,0,0,0
01091000,train,baseline,,0,0,0
01091500,train,baseline,,0,0,0
01092000,train,baseline,-0.30434782608695654,69,108,357
01093800,train,baseline,-0.3333333333333333,3,7,6
01099500,train,baseline,-19.953488372093023,43,54,288
01100627,train,baseline,,0,0,0
01103280,train,baseline,-5.861111111111111,36,36,182
01134500,train,baseline,-3.0285714285714285,105,154,207
01135500,train,baseline,12.458823529411765,85,189,108
01161000,train,baseline,-0.033707865168539325,89,112,213
01170000,train,baseline,15.730994152046783,171,386,206
01170100,train,baseline,9.198275862068966,116,171,156
01171300,train,baseline,-1.95,20,40,22
01173500,train,baseline,10.325203252032521,123,213,184
03021350,train,baseline,-1.0923076923076922,195,299,268
04062200,train,baseline,-3.272727272727273,11,12,114
04074548,train,baseline,-14.0,1,1,53
04270510,train,baseline,4.4,15,31,58
04285500,train,baseline,-1.2394366197183098,71,150,143
04288225,train,baseline,1.3333333333333333,3,13,3
04290500,train,baseline,8.308724832214764,149,220,341
05124480,train,baseline,-3.6,5,10,262
05379400,train,baseline,-7.838709677419355,31,32,72
01030500,train,transfer,-34.44827586206897,29,40,323
01031300,train,transfer,-0.30434782608695654,46,59,223
01054200,train,transfer,4.112676056338028,71,138,112
01073319,train,transfer,,0,0,0
01081000,train,transfer,-11.368421052631579,38,58,266
01085000,train,transfer,,0,0,0
01089500,train,transfer,,0,0,0
01091000,train,transfer,,0,0,0
01091500,train,transfer,,0,0,0
01092000,train,transfer,-0.35064935064935066,77,108,456
01093800,train,transfer,9.0,6,7,187
01099500,train,transfer,-10.793103448275861,29,54,531
01100627,train,transfer,,0,0,0
01103280,train,transfer,-18.29032258064516,31,36,89
01134500,train,transfer,-2.926829268292683,123,154,349
01135500,train,transfer,5.188235294117647,85,189,177
01161000,train,transfer,-13.0,51,112,124
01170000,train,transfer,11.814345991561181,237,386,377
01170100,train,transfer,12.909090909090908,132,171,341
01171300,train,transfer,11.869565217391305,23,40,73
01173500,train,transfer,0.4661016949152542,118,213,239
03021350,train,transfer,1.6143790849673203,153,299,218
04062200,train,transfer,-4.181818181818182,11,12,123
04074548,train,transfer,-15.0,1,1,43
04270510,train,transfer,12.647058823529411,17,31,84
04285500,train,transfer,-0.140625,64,150,212
04288225,train,transfer,-6.0,1,13,78
04290500,train,transfer,9.146153846153846,130,220,272
05124480,train,transfer,,0,10,93
05379400,train,transfer,-6.758620689655173,29,32,95
01030500,train,symbolic,-13.03225806451613,31,40,327
01031300,train,symbolic,-1.8679245283018868,53,59,280
01054200,train,symbolic,6.447058823529412,85,138,166
01073319,train,symbolic,,0,0,0
01081000,train,symbolic,-6.04,50,58,416
01085000,train,symbolic,,0,0,0
01089500,train,symbolic,,0,0,0
01091000,train,symbolic,,0,0,0
01091500,train,symbolic,,0,0,0
01092000,train,symbolic,-1.5348837209302326,86,108,377
01093800,train,symbolic,35.6,5,7,97
01099500,train,symbolic,-25.76923076923077,39,54,342
01100627,train,symbolic,,0,0,0
01103280,train,symbolic,-20.305555555555557,36,36,126
01134500,train,symbolic,-1.1935483870967742,124,154,377
01135500,train,symbolic,2.581818181818182,110,189,197
01161000,train,symbolic,-5.843373493975903,83,112,208
01170000,train,symbolic,13.12037037037037,216,386,307
01170100,train,symbolic,10.341880341880342,117,171,234
01171300,train,symbolic,14.68,25,40,58
01173500,train,symbolic,-0.5636363636363636,110,213,226
03021350,train,symbolic,2.1783783783783783,185,299,246
04062200,train,symbolic,0.2,10,12,131
04074548,train,symbolic,25.0,1,1,64
04270510,train,symbolic,1.7647058823529411,17,31,74
04285500,train,symbolic,1.0952380952380953,63,150,163
04288225,train,symbolic,1.8571428571428572,7,13,73
04290500,train,symbolic,1.3376623376623376,154,220,411
05124480,train,symbolic,4.4,5,10,295
05379400,train,symbolic,-8.03448275862069,29,32,94
01030500,val,baseline,-31.714285714285715,14,19,126
01031300,val,baseline,0.21428571428571427,42,50,118
01054200,val,baseline,6.981481481481482,54,100,67
01073319,val,baseline,-6.0,1,4,2
01081000,val,baseline,-8.647058823529411,17,25,88
01085000,val,baseline,,0,0,0
01089500,val,baseline,2.3333333333333335,3,9,4
01091000,val,baseline,2.0,1,6,1
01091500,val,baseline,,0,0,0
01092000,val,baseline,-0.2631578947368421,38,52,146
01093800,val,baseline,,0,0,0
