station_id,STANAME,DRAIN_SQKM_x,HUC02,lat,lon,STATE,BOUND_SOURCE,HCDN_2009,HBN36,OLD_HCDN,NSIP_SENTINEL,FIPS_SITE,COUNTYNAME_SITE,NAWQA_SUID,is_dfb,p_mean,pet_mean,aridity_index,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,DRAIN_SQKM_y,ELEV_MEAN_M_BASIN,ELEV_STD_M_BASIN,SLOPE_PCT,RRMEAN,RRMEDIAN,BAS_COMPACTNESS,STREAMS_KM_SQ_KM,STRAHLER_MAX,TOPWET,CLAYAVE,SANDAVE,AWCAVE,PERMAVE,BDAVE,for_pc_use,crp_pc_use,urb_pc_use,selection_seed,selection_region,selection_note,train_samples,train_score_status,train_exclusion_reason,train_nse,train_kge,val_samples,val_score_status,val_exclusion_reason,val_nse,val_kge,test_samples,test_score_status,test_exclusion_reason,test_nse,test_kge
01030500,"Mattawamkeag River near Mattawamkeag, Maine",3676.172,01,45.500975,-68.30595556,ME,1,yes,,yes,yes,23019,Penobscot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",67020,ok,,-0.869472298261355,-0.13245144777169982,25514,ok,,-0.8749027468680222,-0.016932575758895396,37446,ok,,-1.0454097343672868,-0.11627228977689752
01031300,"Piscataquis River at Blanchard, Maine",304.3764,01,45.267222,-69.583889,ME,1,,,,,23021,Piscataquis,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",41199,ok,,-74.85599415664072,-11.115503160054743,23690,ok,,-50.79809924706093,-7.952799072518584,35598,ok,,-106.37344554179043,-12.001452900953902
01054200,"Wild River at Gilead, Maine",180.981,01,44.39044444,-70.97964444,ME,1,yes,yes,yes,,23017,Oxford,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",68032,ok,,-0.00916178341916396,-0.21516735705116696,23663,ok,,0.14864007852871874,0.10313356208826896,35211,ok,,0.04307159874509536,-0.03875086781393766
01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",144.3951,01,43.042307,-71.200618,NH,1,,,,,33015,Rockingham,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",0,excluded,no_valid_windows,,,2132,ok,,-0.6460089712198587,-0.2674496753118847,46031,ok,,-0.47088990804240916,-0.84337111783031
01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",1216.967,01,43.44174389,-71.58757528,NH,1,,,,,33013,Merrimack,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",84351,ok,,-0.7337534338354339,0.002683017755274353,33959,ok,,-0.9573825258484623,-0.04527260965408586,52200,ok,,-1.0726858262748542,-0.10759853377618445
01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",950.0697,01,43.1520236,-71.85730139,NH,1,,,,,33013,Merrimack,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",0,excluded,no_valid_windows,,,0,excluded,no_valid_windows,,,0,excluded,no_valid_windows,,
01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",400.7988,01,43.2567475,-71.3695125,NH,1,,,,,33013,Merrimack,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",0,excluded,no_valid_windows,,,5156,ok,,-0.17569286759715674,-0.055189439999187906,41547,ok,,-0.01703363219578824,0.016059651640531025
01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",266.7591,01,43.01480528,-71.64146139,NH,1,,,,,33011,Hillsborough,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",0,excluded,no_valid_windows,,,2635,ok,,-0.574009442845806,-0.3956308327005609,42358,ok,,-0.20796549131045716,-0.2805204134601398
01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",519.1128,01,43.01675,-71.55062528,NH,1,,,,,33011,Hillsborough,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",0,excluded,no_valid_windows,,,0,excluded,no_valid_windows,,,0,excluded,no_valid_windows,,
01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",7987.65,01,42.94814056,-71.46340028,NH,1,,,,,33011,Hillsborough,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",90689,ok,,0.35153123612746506,0.3396070666686152,33779,ok,,0.3503172147608281,0.3111188780487937,51405,ok,,0.2884480484063918,0.3024729488709591
