idx,lookback_hourly,lookback_daily,batch_size,hidden_size,dropout,lr_schedule,epochs,patience,valNSE,valKGE,testNSE,testKGE,source_log
2,168,365,128,64,0.4,"1:5e-4,10:1e-4,25:5e-5",100,10,0.7179507274017882,0.782548238948517,0.6938193376278703,0.7211588814761928,mts100_tune_46452569_2.out
4,168,365,128,64,0.6,"1:5e-4,10:1e-4,25:5e-5",100,10,0.7179507274017882,0.782548238948517,0.6938193376278703,0.7211588814761928,mts100_tune_46452569_4.out
1,72,365,128,64,0.4,"1:5e-4,10:1e-4,25:5e-5",100,10,0.6933746159862342,0.7668898817939812,0.6911211156350916,0.7180201598165451,mts100_tune_46452569_1.out
8,168,365,256,128,0.4,"1:5e-4,10:1e-4,25:5e-5",100,10,0.6746872926519167,0.7607959396162013,0.6439063315011635,0.7017325932897579,mts100_tune_46452569_8.out
7,168,365,128,128,0.4,"1:5e-4,10:1e-4,25:5e-5",100,10,0.6845726519421604,0.7395259002900458,0.6536197366235426,0.6692400067540538,mts100_tune_46452569_7.out
9,168,365,128,128,0.6,"1:5e-4,10:1e-4,25:5e-5",100,10,0.6845726519421604,0.7395259002900458,0.6536197366235426,0.6692400067540538,mts100_tune_46452569_9.out
3,168,365,256,64,0.4,"1:5e-4,10:1e-4,25:5e-5",100,10,0.7086390990180764,0.7284413037211749,0.6713487504048061,0.6723818925388332,mts100_tune_46452569_3.out
5,168,365,256,64,0.6,"1:5e-4,10:1e-4,25:5e-5",100,10,0.7086390990180764,0.7284413037211749,0.6713487504048061,0.6723818925388332,mts100_tune_46452569_5.out
6,336,365,256,64,0.4,"1:5e-4,10:1e-4,25:5e-5",100,10,0.7046320287560012,0.7264079293664393,0.6750738392400546,0.6817297242967619,mts100_tune_46452569_6.out
12,168,365,256,256,0.4,"1:5e-4,10:1e-4,25:5e-5",100,10,0.6943331867648603,0.7254970221649261,0.6911946851712154,0.6762503567650282,mts100_tune_46452569_12.out
11,168,365,128,256,0.4,"1:5e-4,10:1e-4,25:5e-5",100,10,0.7140195092471486,0.7236163587639268,0.6918783443990423,0.6752601761235935,mts100_tune_46452569_11.out
10,336,365,128,128,0.4,"1:5e-4,10:1e-4,25:5e-5",100,10,0.6877300577955539,0.7153257188506876,0.6611208237652073,0.6578384638213732,mts100_tune_46452569_10.out
