tile,n_basins,north,west,south,east,n_lon,n_lat,n_cells
t+02-02,14,-10.200000000000001,23.200000000000003,-20.0,30.1,70,99,6930
t+03-02,33,-10.3,29.8,-20.3,35.9,62,101,6262
t-01+00,21,10.700000000000001,-10.3,6.0,0.2,106,48,5088
t+02-04,45,-29.8,20.3,-34.4,30.1,99,47,4653
t+02-03,28,-19.5,27.1,-30.400000000000002,30.6,36,110,3960
t+01+00,8,9.5,13.4,3.9000000000000004,19.3,60,57,3420
t+03-01,20,-6.6000000000000005,29.700000000000003,-10.5,37.800000000000004,82,40,3280
t-01+01,3,14.8,-5.5,9.700000000000001,0.6000000000000001,62,52,3224
t+03-03,48,-22.6,29.1,-30.400000000000002,32.5,35,79,2765
t-02+01,15,12.9,-14.4,9.700000000000001,-11.100000000000001,34,33,1122
t+00+00,12,10.3,0.4,6.300000000000001,3.0,27,41,1107
t-01+03,5,35.7,-6.6000000000000005,32.7,-3.8000000000000003,29,31,899
t+02+00,4,8.3,19.8,4.9,21.8,21,35,735
t+01-04,27,-32.0,18.400000000000002,-34.6,20.700000000000003,24,27,648
t+00+01,5,11.600000000000001,-0.1,9.5,2.4000000000000004,26,22,572
t+00+03,2,36.7,1.8,36.1,8.1,64,7,448
t+03+00,2,9.5,37.800000000000004,8.1,39.2,15,15,225
t-02+00,1,10.200000000000001,-11.100000000000001,8.9,-10.3,9,14,126
t+02-01,1,-9.700000000000001,29.400000000000002,-10.100000000000001,29.900000000000002,6,5,30
