station_id,n_training_batches,n_validation_batches,source,size_bin,fold,block,lat,long,nearest_other_fold_km_blocked,nearest_other_fold_km_random
BOMAustralia__001202A,116,49,BOMAustralia,1,1,63,-22.91,139.916,343.36816232355153,210.50407826269114
BOMAustralia__002105A,110,53,BOMAustralia,1,2,1,-22.177,143.164,148.919287201675,148.919287201675
BOMAustralia__003202A,145,62,BOMAustralia,1,1,98,-23.409,144.229,175.17215273396167,26.30717005965266
BOMAustralia__003204A,143,61,BOMAustralia,1,1,98,-22.448,145.024,181.03714259516678,134.33894733528865
BOMAustralia__003205A,119,51,BOMAustralia,1,1,98,-23.216,144.08,148.919287201675,26.30717005965266
BOMAustralia__003206A,2,1,BOMAustralia,0,2,1,-20.82,145.044,181.03714259516678,55.17973940360519
BOMAustralia__003302A,129,55,BOMAustralia,1,1,98,-23.649,145.217,258.18358427114276,89.79786718986284
BOMAustralia__003303A,170,74,BOMAustralia,2,1,98,-24.426,145.458,264.42921027322546,89.79786718986284
BOMAustralia__104001A,156,68,BOMAustralia,1,4,102,-14.168,143.393,127.21158539107307,25.99821654139153
BOMAustralia__105001B,155,68,BOMAustralia,1,1,52,-15.224,143.848,93.71099791946457,15.856336993999061
BOMAustralia__105002A,7,4,BOMAustralia,0,1,52,-15.348,143.775,93.75381846709726,15.856336993999061
BOMAustralia__105101A,155,69,BOMAustralia,1,1,52,-15.282,144.839,196.78942829154002,29.013301030469737
BOMAustralia__105102A,162,70,BOMAustralia,1,1,52,-15.614,144.484,174.121580631112,54.55208793375972
BOMAustralia__105104A,6,3,BOMAustralia,0,1,52,-15.49,144.529,172.4448774930349,58.01795892291278
BOMAustralia__105105A,169,74,BOMAustralia,2,1,52,-15.768,145.012,232.31960295118887,4.083993906650119
BOMAustralia__105106A,69,31,BOMAustralia,0,1,52,-15.759,144.975,228.31302586564965,4.083993906650119
BOMAustralia__106001A,9,5,BOMAustralia,0,1,52,-15.135,145.086,211.50056619789206,31.13843587725885
BOMAustralia__106002A,6,3,BOMAustralia,0,1,52,-14.759,144.857,170.77913455475033,13.798200136191634
BOMAustralia__106003A,6,3,BOMAustralia,0,1,52,-14.816,144.971,184.53044080861625,13.798200136191634
BOMAustralia__107001B,177,77,BOMAustralia,2,1,52,-15.424,145.066,224.31694958763327,27.940104421127046
BOMAustralia__107002A,16,9,BOMAustralia,0,1,52,-15.644,145.192,244.7471481257466,5.220157526544102
BOMAustralia__107003A,177,82,BOMAustralia,2,1,52,-15.688,145.209,248.18708402085306,5.220157526544102
