station_id,n_training_batches,n_validation_batches,source,size_bin,fold
BOMAustralia__001202A,116,49,BOMAustralia,1,0
BOMAustralia__002105A,110,53,BOMAustralia,1,3
BOMAustralia__003202A,145,62,BOMAustralia,1,2
BOMAustralia__003204A,143,61,BOMAustralia,1,0
BOMAustralia__003205A,119,51,BOMAustralia,1,0
BOMAustralia__003206A,2,1,BOMAustralia,0,3
BOMAustralia__003302A,129,55,BOMAustralia,1,0
BOMAustralia__003303A,170,74,BOMAustralia,2,4
BOMAustralia__104001A,156,68,BOMAustralia,1,2
BOMAustralia__105001B,155,68,BOMAustralia,1,2
BOMAustralia__105002A,7,4,BOMAustralia,0,4
BOMAustralia__105101A,155,69,BOMAustralia,1,4
BOMAustralia__105102A,162,70,BOMAustralia,1,4
BOMAustralia__105104A,6,3,BOMAustralia,0,4
BOMAustralia__105105A,169,74,BOMAustralia,2,3
BOMAustralia__105106A,69,31,BOMAustralia,0,4
BOMAustralia__106001A,9,5,BOMAustralia,0,3
BOMAustralia__106002A,6,3,BOMAustralia,0,2
BOMAustralia__106003A,6,3,BOMAustralia,0,3
BOMAustralia__107001B,177,77,BOMAustralia,2,1
BOMAustralia__107002A,16,9,BOMAustralia,0,2
BOMAustralia__107003A,177,82,BOMAustralia,2,0
BOMAustralia__108002A,187,82,BOMAustralia,2,0
BOMAustralia__108003A,194,84,BOMAustralia,2,1
BOMAustralia__108008A,168,73,BOMAustralia,2,3
BOMAustralia__109001A,163,71,BOMAustralia,1,4
BOMAustralia__109002C,7,4,BOMAustralia,0,1
BOMAustralia__109003A,3,1,BOMAustralia,0,2
BOMAustralia__110001D,148,65,BOMAustralia,1,0
BOMAustralia__110002A,132,59,BOMAustralia,1,0
BOMAustralia__110003A,164,71,BOMAustralia,1,2
BOMAustralia__110006C,116,50,BOMAustralia,1,3
BOMAustralia__110011B,104,46,BOMAustralia,0,0
BOMAustralia__110016A,8,4,BOMAustralia,0,2
BOMAustralia__110020A,119,56,BOMAustralia,1,0
BOMAustralia__110021A,147,64,BOMAustralia,1,3
BOMAustralia__110025A,105,46,BOMAustralia,1,4
BOMAustralia__111005A,190,83,BOMAustralia,2,2
BOMAustralia__111007A,202,88,BOMAustralia,2,4
BOMAustralia__111009A,95,42,BOMAustralia,0,1
BOMAustralia__111101D,210,91,BOMAustralia,2,3
BOMAustralia__111104A,16,8,BOMAustralia,0,1
BOMAustralia__111105A,180,79,BOMAustralia,2,4
BOMAustralia__112002A,168,73,BOMAustralia,2,3
BOMAustralia__112003A,151,66,BOMAustralia,1,0
BOMAustralia__112004A,192,84,BOMAustralia,2,3
BOMAustralia__112005A,66,29,BOMAustralia,0,2
BOMAustralia__112006B,87,45,BOMAustralia,0,1
BOMAustralia__112101B,207,90,BOMAustralia,2,2
BOMAustralia__112102A,194,84,BOMAustralia,2,2
BOMAustralia__112103B,87,44,BOMAustralia,0,1
BOMAustralia__112104A,46,23,BOMAustralia,0,2
BOMAustralia__113004A,148,64,BOMAustralia,1,4
BOMAustralia__113006A,172,77,BOMAustralia,2,1
BOMAustralia__113015A,102,51,BOMAustralia,1,3
BOMAustralia__114001A,199,87,BOMAustralia,2,1
BOMAustralia__114002B,101,46,BOMAustralia,0,4
BOMAustralia__116004C,182,79,BOMAustralia,2,3
BOMAustralia__116006B,174,75,BOMAustralia,2,2
BOMAustralia__116008B,149,64,BOMAustralia,1,4
BOMAustralia__116010A,133,59,BOMAustralia,1,4
BOMAustralia__116011A,166,73,BOMAustralia,2,2
BOMAustralia__116012A,177,77,BOMAustralia,2,4
BOMAustralia__116013A,174,76,BOMAustralia,2,4
BOMAustralia__116014A,187,81,BOMAustralia,2,2
BOMAustralia__116015A,165,72,BOMAustralia,1,3
BOMAustralia__116016A,147,64,BOMAustralia,1,4
BOMAustralia__116017A,146,63,BOMAustralia,1,4
BOMAustralia__117002A,141,61,BOMAustralia,1,3
BOMAustralia__117003A,148,63,BOMAustralia,1,4
BOMAustralia__118003A,72,31,BOMAustralia,0,4
BOMAustralia__118004A,13,6,BOMAustralia,0,3
BOMAustralia__118104A,4,2,BOMAustralia,0,0
BOMAustralia__118106A,137,59,BOMAustralia,1,2
BOMAustralia__119003A,177,76,BOMAustralia,2,1
BOMAustralia__119005A,144,62,BOMAustralia,1,4
BOMAustralia__119006A,146,63,BOMAustralia,1,2
BOMAustralia__119101A,175,75,BOMAustralia,2,1
BOMAustralia__119104A,22,10,BOMAustralia,0,2
BOMAustralia__120014A,5,2,BOMAustralia,0,3
BOMAustralia__120102A,138,60,BOMAustralia,1,1
BOMAustralia__120106B,145,62,BOMAustralia,1,0
BOMAustralia__120108C,2,1,BOMAustralia,0,3
BOMAustralia__120111A,5,2,BOMAustralia,0,1
BOMAustralia__120112A,156,67,BOMAustralia,1,3
BOMAustralia__120113A,9,4,BOMAustralia,0,3
BOMAustralia__120114A,4,2,BOMAustralia,0,4
BOMAustralia__120115A,4,2,BOMAustralia,0,0
BOMAustralia__120117A,2,1,BOMAustralia,0,1
BOMAustralia__120118A,3,2,BOMAustralia,0,2
BOMAustralia__120119A,4,2,BOMAustralia,0,3
BOMAustralia__120120A,154,67,BOMAustralia,1,3
BOMAustralia__120121A,41,18,BOMAustralia,0,3
BOMAustralia__120123A,76,40,BOMAustralia,0,4
BOMAustralia__120205A,158,69,BOMAustralia,1,1
BOMAustralia__120207A,160,69,BOMAustralia,1,3
BOMAustralia__120209A,45,20,BOMAustralia,0,2
BOMAustralia__120209B,118,54,BOMAustralia,1,0
BOMAustralia__120210A,4,2,BOMAustralia,0,2
BOMAustralia__120212A,2,1,BOMAustralia,0,1
BOMAustralia__120213A,2,1,BOMAustralia,0,3
BOMAustralia__120214A,15,7,BOMAustralia,0,4
BOMAustralia__120216A,173,75,BOMAustralia,2,2
BOMAustralia__120218A,3,1,BOMAustralia,0,4
BOMAustralia__120220A,10,5,BOMAustralia,0,4
BOMAustralia__120299A,27,12,BOMAustralia,0,3
BOMAustralia__120304A,139,59,BOMAustralia,1,2
BOMAustralia__120305A,142,61,BOMAustralia,1,0
BOMAustralia__120306A,7,3,BOMAustralia,0,0
BOMAustralia__120307A,124,53,BOMAustralia,1,4
BOMAustralia__120308A,2,1,BOMAustralia,0,2
BOMAustralia__120309A,134,58,BOMAustralia,1,4
BOMAustralia__121001A,154,66,BOMAustralia,1,2
BOMAustralia__121002A,140,61,BOMAustralia,1,0
BOMAustralia__121003A,152,66,BOMAustralia,1,3
BOMAustralia__121004A,132,58,BOMAustralia,1,0
BOMAustralia__122003A,118,51,BOMAustralia,1,4
BOMAustralia__122004A,154,66,BOMAustralia,1,3
BOMAustralia__122005A,63,28,BOMAustralia,0,1
BOMAustralia__122012A,20,10,BOMAustralia,0,1
