split,fold,M0,M1,pretrain_stopped_epoch,pretrain_best_epoch,val_curve_jitter
random,0,0.541459749078754,0.6297053994759054,30,25,0.004886105290569653
random,1,0.5214047207347597,0.6241586617698585,29,23,0.005989859203662851
random,2,0.5305163429582959,0.623712983449282,30,27,0.005989645619258299
random,3,0.5193037381805536,0.6306608190846705,30,24,0.008171892415702375
random,4,0.5464954354255703,0.6304022386940893,30,28,0.0058665927237167015
blocked,0,0.48621931496058163,0.6720338227439951,20,14,0.007016112818955422
blocked,1,0.4006873702567516,0.5687721780700907,30,25,0.006638831699522285
blocked,2,0.4435144313678733,0.6424119124434506,30,30,0.006488300586775075
blocked,3,0.40499099924806437,0.6301715677769855,30,26,0.0068462202211964085
blocked,4,0.38928295594569506,0.5914158360167566,20,14,0.012330019685965476
