station_id,cv_M0,n_days_M0,cv_M1,n_days_M1,ratio_M1_over_M0
restricted_ADHI__43,0.0682939,415,0.10501811,415,1.5377377
restricted_ADHI__44,0.23166363,651,-0.25910902,651,-1.1184709
restricted_ADHI__67,0.07204723,880,0.25578338,880,3.5502179
restricted_ADHI__75,0.045171484,407,0.04899396,407,1.0846214
restricted_ADHI__114,0.05229809,1150,0.084959015,1150,1.6245147
restricted_ADHI__124,0.084412314,1033,0.07429698,1033,0.88016754
restricted_ADHI__127,0.094688445,1148,0.082843944,1148,0.87491083
restricted_ADHI__128,0.11863604,1378,-0.22669533,1378,-1.9108471
restricted_ADHI__130,0.11744139,823,-0.20018537,823,-1.7045555
restricted_ADHI__142,0.09701303,972,0.05917702,972,0.6099904
restricted_ADHI__145,0.14854342,1201,0.07670907,1201,0.5164084
restricted_ADHI__155,0.11021311,745,-0.19462177,745,-1.7658677
restricted_ADHI__161,0.059389498,321,0.112080246,321,1.8872064
restricted_ADHI__166,0.059191205,1351,0.059185702,1351,0.999907
restricted_ADHI__167,0.076164655,1051,0.11874162,1051,1.559012
restricted_ADHI__193,0.10922396,872,0.034669124,872,0.31741318
restricted_ADHI__204,0.0840868,1093,0.07916832,1093,0.9415071
restricted_ADHI__205,0.12554482,1247,0.06289379,1247,0.50096685
restricted_ADHI__245,0.08055799,963,0.0950335,963,1.1796906
restricted_ADHI__249,0.08963797,1087,0.097231016,1087,1.0847079
restricted_ADHI__254,0.05193563,161,0.09030135,161,1.7387167
restricted_ADHI__255,0.046984345,836,0.079110205,836,1.6837567
restricted_ADHI__256,0.12442347,540,0.14753255,540,1.1857293
restricted_ADHI__258,0.034878213,775,0.058503494,775,1.677365
restricted_ADHI__261,0.027330972,845,0.053066228,845,1.9416151
restricted_ADHI__263,0.061389495,1323,0.07866982,1323,1.2814867
restricted_ADHI__271,0.04984422,812,0.07608865,812,1.5265291
restricted_ADHI__273,0.03889005,1120,0.049039364,1120,1.2609746
restricted_ADHI__274,0.03362877,654,0.08071925,654,2.4003034
restricted_ADHI__361,0.14676528,1314,0.1499516,1314,1.0217104
restricted_ADHI__362,0.18182115,1374,0.30943096,1374,1.7018424
restricted_ADHI__367,0.091664545,996,0.13132806,996,1.4327029
restricted_ADHI__371,0.0802156,862,0.11654544,862,1.4529023
restricted_ADHI__375,0.11906637,980,0.113865405,980,0.95631874
restricted_ADHI__380,0.116759695,887,0.16413605,887,1.4057595
restricted_ADHI__381,0.09265573,726,0.10594571,726,1.1434339
restricted_ADHI__383,0.07887164,1056,0.11427273,1056,1.4488444
restricted_ADHI__384,0.068948835,918,0.08462363,918,1.2273395
restricted_ADHI__395,0.07549043,1074,0.06312398,1074,0.83618516
restricted_ADHI__401,0.09949452,1096,0.13123575,1096,1.3190249
restricted_ADHI__403,0.08618337,949,0.110214666,949,1.2788391
restricted_ADHI__499,0.036407024,775,0.05228056,775,1.436002
restricted_ADHI__530,0.14364688,833,0.1449338,833,1.0089589
restricted_ADHI__533,0.057484377,992,0.07151425,992,1.2440641
restricted_ADHI__574,0.061431684,868,0.122377396,868,1.9920893
restricted_ADHI__575,0.10110699,718,0.09224145,718,0.9123153
restricted_ADHI__577,0.06554681,1133,0.09047007,1133,1.380236
restricted_ADHI__597,0.02322116,1644,0.057151034,1644,2.461162
restricted_ADHI__654,0.13486083,1607,0.10549994,1607,0.7822875
GRDC__1993180,0.05100978,1187,0.047730885,1187,0.93572026
GRDC__1259500,0.09966886,1276,0.13883123,1276,1.3929248
GRDC__1591800,0.25275618,1434,0.14197284,1434,0.5616988
GRDC__1993100,0.09157658,301,0.06063073,301,0.6620768
GRDC__1634560,0.03956902,449,0.059897415,449,1.5137452
GRDC__1259520,0.08551438,726,0.09811215,726,1.1473175
GRDC__1591460,0.14738482,1297,0.10411319,1297,0.70640373
GRDC__1491830,0.23614039,1068,0.2947343,1068,1.2481318
GRDC__1309850,0.21289603,995,0.16662116,995,0.782641
GRDC__1992840,0.11727679,969,0.14518166,969,1.2379402
GRDC__1993320,0.06456748,1151,0.045663003,1151,0.7072137
GRDC__1286150,0.12624983,621,0.06948689,621,0.550392
GRDC__1577100,0.10710144,654,0.18364221,654,1.7146567
GRDC__1591490,0.091104,1286,0.06829424,1286,0.74962944
GRDC__1993580,0.37336135,853,0.75836486,853,2.031182
GRDC__1286210,0.15205353,850,0.12565264,850,0.8263711
GRDC__1495165,0.3347326,1068,-0.28078526,1068,-0.8388345
GRDC__1599180,0.24614644,656,0.16854155,656,0.68472064
GRDC__1547300,0.05544038,1627,0.048166275,1627,0.8687941
GRDC__1634200,0.031601675,1461,0.057753984,1461,1.8275609
GRDC__1813650,0.11104165,610,0.051152483,610,0.46066034
GRDC__1491720,0.29444394,907,0.2835266,907,0.9629222
GRDC__1234050,0.19198221,548,0.1727813,548,0.899986
