variable,n_groups,gain_min,gain_max,gain_spread
kgz_detailed,15,-0.013675201479282806,0.32193314628413583,0.33560834776341864
source,6,0.05592782757604109,0.24746378717120737,0.19153595959516628
kgz_major,5,0.03983228995016541,0.18235931707104874,0.14252702712088333
area_km2,5,0.022202245184754554,0.11193065055054352,0.08972840536578897
elevation,5,0.03898726712679951,0.11313122364018424,0.07414395651338473
q95_median_sharpness,5,0.03996894352164038,0.1024558801648415,0.062486936643201124
snow_fraction,5,0.04002053312755438,0.10022742819618596,0.06020689506863158
best_lag,5,0.034428779956234834,0.09451586858763106,0.060087088631396224
pmean,5,0.038373846101672826,0.08932858850843761,0.050954742406764786
max_lag_corr,5,0.04094055263472418,0.0893932097412301,0.048452657106505925
flashiness_log1p,5,0.04325797075933968,0.08491125434583806,0.04165328358649838
nearest_other_fold_km_blocked,5,0.04939696262895438,0.08810046397493176,0.03870350134597739
q95_events_per_year,5,0.05158759564144405,0.08169303920379889,0.03010544356235484
years_q_valid,5,0.0536639021353541,0.07541558435848295,0.021751682223128843
nearest_other_fold_km_random,5,0.05445028967268295,0.06824355427783935,0.013793264605156397
reservoir_impact,2,0.05136714552522603,0.0651195017198998,0.01375235619467377
