variable,n,spearman_rho,p
area_km2,8843,-0.17225473025453958,7.328824124178524e-60
best_lag,8843,-0.10608397273790507,1.4834612401708447e-23
q95_median_sharpness,8746,-0.09670781940193332,1.256618256716357e-19
pmean,8843,0.06398119735958675,1.7234507306508807e-09
snow_fraction,8843,0.06215797914474299,4.9158884254963336e-09
elevation,8843,0.05590908063921547,1.4334682037752134e-07
flashiness_log1p,8840,0.05252804197616921,7.753716591358537e-07
nearest_other_fold_km_blocked,8843,0.04744028618309263,8.080681796432471e-06
nearest_other_fold_km_random,8843,-0.03543137538420207,0.0008608693655038498
q95_events_per_year,8746,0.03356153468396036,0.001694606164278166
years_q_valid,8843,0.029895461345610247,0.0049308451186951706
reservoir_impact,8843,-0.02788357600143283,0.008735560907291629
max_lag_corr,8843,0.0243951042083449,0.021786764104198462
