variable,group,n_stations,covariate_median,M0_kge,M1_kge,gain,frac_improved,M0_alpha,M1_alpha
source,BOMAustralia,1730,,0.24816410875800393,0.32293432030686486,0.05744155078847481,0.6034682080924856,0.761379041126742,0.7787981049922904
source,CAMELSH,5059,,0.5814472293853308,0.6695614856968818,0.05592782757604109,0.6841272978849575,0.8347098427564459,0.8750065082559871
source,Germany,457,,0.6171690357545576,0.6939508496856763,0.06718533371178226,0.6717724288840262,0.7892018508548257,0.7921638566177253
source,Japan,690,,0.5288052609009988,0.621866052132138,0.08906613833703099,0.8014492753623188,0.7697173928209542,0.8437019895088813
source,LamaHCE,834,,0.6056355836294536,0.6981837372511642,0.06871062625094071,0.6990407673860911,0.7687062448491778,0.8007248103728851
source,LamaHIce,73,,0.2657717326723221,0.5937267953451038,0.24746378717120737,0.8904109589041096,0.7462317151317107,0.7700771363591484
kgz_major,A,180,,0.335102701857913,0.4404842869571265,0.08790879942742408,0.6722222222222223,0.6512453926640028,0.7618723176919071
kgz_major,B,771,,-0.0634756604554358,-0.0050542992547903,0.03983228995016541,0.5603112840466926,0.6355117470285601,0.6607711227027526
kgz_major,C,6026,,0.5519008646294828,0.6385670293573746,0.06374562345921679,0.6941586458679058,0.818989719574666,0.8571901324841431
kgz_major,D,1791,,0.5970970918593639,0.6899754921480653,0.05886496498977578,0.6806253489670575,0.8275882079126884,0.8504842522857651
kgz_major,E,75,,0.4829851058769019,0.7523263004945041,0.18235931707104874,0.7733333333333333,0.8272593210226624,0.9131703709530756
kgz_detailed,Aw,160,,0.3433821212451095,0.426007697573232,0.060083115099696216,0.6375,0.6549592669239468,0.7618723176919071
kgz_detailed,BSh,244,,-0.0577605747982701,-0.0386071400870865,0.025207865981248856,0.5532786885245902,0.5869760327394054,0.6270200909083542
kgz_detailed,BSk,453,,-0.0535955326217378,0.0503393665825486,0.0535642286597027,0.5761589403973509,0.6865269201357456,0.6853528669381553
kgz_detailed,BWh,56,,-0.201243512679306,-0.4142245772443065,-0.013675201479282806,0.5,0.4303840982410073,0.5613326662577204
kgz_detailed,Cfa,3193,,0.5718686874823206,0.6347335496963724,0.05153801792520252,0.693704979642969,0.8204770870695989,0.8783747932116132
kgz_detailed,Cfb,1827,,0.5573143279146933,0.649768438143399,0.06932858759782601,0.6732348111658456,0.7922851544247418,0.8006303890545219
kgz_detailed,Cfc,51,,0.1345763364395628,0.6177771166947137,0.32193314628413583,0.9215686274509803,0.7208864870848367,0.7856783817489089
kgz_detailed,Csa,174,,0.2784713279214692,0.41696710567066053,0.14440424995522627,0.6724137931034483,0.896605101433916,0.8918882020193947
kgz_detailed,Csb,744,,0.4950219481534045,0.6787762745501137,0.11132871209380175,0.7379032258064516,0.8932829738880592,0.9235531336753569
kgz_detailed,Cwa,36,,0.3573879104903588,0.3983342174701088,0.06861430765823004,0.6666666666666666,0.7625695858714082,0.9502204943567487
kgz_detailed,Dfa,546,,0.637138054752718,0.6835233951397818,0.01770891589966722,0.5695970695970696,0.825559490813664,0.8284801762513543
kgz_detailed,Dfb,1034,,0.5760786986948766,0.6841818835661763,0.07785990562330253,0.7243713733075435,0.8349347392820692,0.8628749362106618
kgz_detailed,Dfc,151,,0.5683215200083601,0.7728481242240073,0.14721383334011406,0.7682119205298014,0.8376377122291645,0.8574248585638787
kgz_detailed,Dsb,50,,0.493589775842391,0.6752471010307753,0.22580617433025807,0.74,0.7006904855094358,0.8221744887576277
kgz_detailed,ET,75,,0.4829851058769019,0.7523263004945041,0.18235931707104874,0.7733333333333333,0.8272593210226624,0.9131703709530756
area_km2,"(0.211, 87.122]",1769,43.694,0.4057673551725796,0.569804285030028,0.11193065055054352,0.756359525155455,0.6871514911552257,0.775854454989336
area_km2,"(87.122, 232.531]",1768,150.363,0.4940124157668394,0.6138408018503687,0.08602284237094854,0.7183257918552036,0.7687922790344672,0.8283382414504425
area_km2,"(232.531, 563.975]",1769,363.245,0.5551914203064205,0.6425911964868728,0.06361615660891673,0.6981345392877332,0.8290429168723145,0.8662886492511118
area_km2,"(563.975, 1537.451]",1768,908.194,0.5927116436933869,0.6634871557995962,0.04126888171686188,0.6414027149321267,0.8305224819694503,0.8734859907728498
area_km2,"(1537.451, 9981.242]",1769,3200.356,0.6054955256587765,0.6568485558186121,0.022202245184754554,0.5856416054267948,0.8677880257937313,0.8712271038569709
years_q_valid,"(0.304, 14.134]",1769,7.1703171343828425,0.3221459861298552,0.4245922468980143,0.05783285700466201,0.6223855285472019,0.7462248650823985,0.7760235345410791
years_q_valid,"(14.134, 21.016]",1768,17.623944786675793,0.42793962151828613,0.5378523164954641,0.06377620508063814,0.6600678733031674,0.7949132328428407,0.8350319066495069
years_q_valid,"(21.016, 27.428]",1769,23.783823864932696,0.5473061990508459,0.6450943584583299,0.06512690925896364,0.7032221594120972,0.799904433543219,0.8505884375677275
years_q_valid,"(27.428, 33.502]",1768,30.715605749486652,0.621408478001101,0.7018628798283311,0.0536639021353541,0.6957013574660633,0.8537458700127346,0.896786882848206
years_q_valid,"(33.502, 44.999]",1769,36.99646360939995,0.6308856813030919,0.7180315540681048,0.07541558435848295,0.7184850197851894,0.8077855704469191,0.838440645136765
pmean,"(159.364, 682.097]",1769,511.723,0.1324004642818935,0.2439420898102915,0.07902895976339311,0.6161673261729791,0.7040204788548722,0.7433040921007474
pmean,"(682.097, 917.447]",1768,815.116,0.5184557451147367,0.5924051486272957,0.038373846101672826,0.6023755656108597,0.8093625710271151,0.8029969695448824
pmean,"(917.447, 1114.167]",1769,1015.447,0.6035990681262575,0.6773502838241039,0.046912679088110254,0.6873940079140758,0.8275882079126884,0.8619981478304168
pmean,"(1114.167, 1319.368]",1768,1206.623,0.6209769710930384,0.6926974763738352,0.06509322868694245,0.7154977375565611,0.8390972964944147,0.8782963496698517
pmean,"(1319.368, 4061.609]",1769,1538.716,0.5838454078485817,0.7011732780878581,0.08932858850843761,0.7784058790276993,0.8121660221856533,0.8858233371510587
snow_fraction,"(-0.001, 0.005]",1845,0.001,0.2373017346087269,0.3209146907726323,0.06645435851523207,0.6298102981029811,0.705570860578883,0.7732061508042928
snow_fraction,"(0.005, 0.04]",1698,0.015,0.513668132997559,0.6000103445761639,0.06724372691575153,0.6813898704358068,0.8263162815353666,0.8754053404924502
snow_fraction,"(0.04, 0.102]",1792,0.075,0.5755990383919571,0.6407189381997317,0.049509848111450094,0.6774553571428571,0.8015834117906422,0.8317385059128879
snow_fraction,"(0.102, 0.166]",1745,0.128,0.6464360890067082,0.7096995046993664,0.04002053312755438,0.6607449856733524,0.8339487074125972,0.8559269935648225
snow_fraction,"(0.166, 0.675]",1763,0.253,0.5693949647425067,0.7104979893848896,0.10022742819618596,0.7526942711287578,0.8290429168723145,0.8633162759525222
reservoir_impact,"(-0.001, 0.035]",7078,0.0,0.5188019936337649,0.6244241692293485,0.0651195017198998,0.6825374399547894,0.7986077698121969,0.846727040044871
reservoir_impact,"(0.035, 9.894]",1765,0.349,0.5633071060941486,0.6306735749739689,0.05136714552522603,0.6696883852691218,0.8319953307854729,0.8416992968966677
elevation,"(-10.92, 226.583]",1769,132.016,0.4600189682093939,0.5827185195161446,0.0766355537984666,0.7105709440361786,0.7955127911041043,0.8481122967145075
elevation,"(226.583, 351.21]",1768,289.9385,0.5685412402811199,0.6362342185460583,0.03898726712679951,0.6493212669683258,0.8211132284278102,0.8522351413626004
elevation,"(351.21, 535.846]",1769,436.933,0.5686101459614484,0.6255269940834884,0.04696818417863269,0.6506500847936687,0.8181595109831684,0.8465137789013554
elevation,"(535.846, 939.598]",1768,682.732,0.5493798595061921,0.6365777931866777,0.05748512748717714,0.6657239819004525,0.8124534538651194,0.8503239811812628
elevation,"(939.598, 3700.658]",1769,1618.111,0.4598777008842691,0.6524902890012456,0.11313122364018424,0.7235726399095535,0.7853038156648604,0.8294085644432624
best_lag,"(-0.001, 8.0]",1863,6.0,0.3890374134143429,0.5443652241251256,0.09451586858763106,0.7342995169082126,0.6970084420995972,0.7795769544671757
best_lag,"(8.0, 13.0]",1743,11.0,0.5270130887537493,0.6376304750431634,0.07676455277367444,0.7211703958691911,0.7744974224303439,0.8328333409860548
best_lag,"(13.0, 20.0]",1849,16.0,0.5727481906209148,0.6533076705854969,0.06171657592282587,0.6944294213088156,0.8077984097693701,0.8576750664858985
best_lag,"(20.0, 36.0]",1680,26.0,0.6184694297345081,0.6810553496536172,0.034428779956234834,0.631547619047619,0.8791941708398465,0.8945111689760089
best_lag,"(36.0, 168.0]",1708,63.0,0.5223245221739736,0.6128227017137368,0.03739464081043167,0.610655737704918,0.8693743845393922,0.8583081534154711
max_lag_corr,"(-0.189, 0.137]",1769,0.0769020696371455,0.324877834763994,0.503344109308463,0.07747575611150637,0.6557377049180327,0.799904433543219,0.7900875716670327
max_lag_corr,"(0.137, 0.223]",1768,0.1832656700513059,0.5290833203182876,0.6267666134223593,0.042740357095204226,0.626131221719457,0.8534527172596955,0.8661841582162082
max_lag_corr,"(0.223, 0.286]",1769,0.2550004692620675,0.5960144332682842,0.6481186762799143,0.04094055263472418,0.646127755794234,0.8362756507776241,0.8676393828856078
max_lag_corr,"(0.286, 0.359]",1768,0.31910908620675127,0.5759608357666148,0.6545309753517103,0.06040510196453994,0.6951357466063348,0.782696326473581,0.8416020359691019
max_lag_corr,"(0.359, 0.768]",1769,0.4169601579413935,0.5376122042890514,0.64978758805066,0.0893932097412301,0.7767100056529113,0.7566581447940481,0.8477679873420804
flashiness_log1p,"(-0.0009477, 0.00509]",1768,0.0033432044329166997,0.6742729120930248,0.7413188435627976,0.04325797075933968,0.6628959276018099,0.9093951030894211,0.9253644069285355
flashiness_log1p,"(0.00509, 0.00878]",1768,0.0068929745457982,0.6198387798362448,0.6981551404351903,0.054327403898072724,0.6804298642533937,0.8535648702701006,0.8835701480323047
flashiness_log1p,"(0.00878, 0.0141]",1768,0.0109995605978666,0.5712459895279043,0.6531420859668726,0.06186132660944005,0.6832579185520362,0.8019218764962526,0.8511563976687608
flashiness_log1p,"(0.0141, 0.0255]",1768,0.01844753017156505,0.45575761501143325,0.5695456717123563,0.07130950223486349,0.6747737556561086,0.7414246411175416,0.7935271761686145
flashiness_log1p,"(0.0255, 0.927]",1768,0.04092361473046685,0.2557803547121149,0.3797924047099276,0.08491125434583806,0.6979638009049773,0.6461631390489613,0.7259167613648669
q95_events_per_year,"(0.249, 8.511]",1750,6.0700792766071245,0.5751773163418239,0.6659549153363963,0.05158759564144405,0.6468571428571429,0.8712544089086933,0.8724803692320748
q95_events_per_year,"(8.511, 12.757]",1749,10.61530814809906,0.6118189332557873,0.6926368125131999,0.05238444125155839,0.6803887935963407,0.8668855424899711,0.891387074803256
q95_events_per_year,"(12.757, 17.721]",1749,15.002874821063092,0.6106801188592822,0.6876441967649322,0.06037379758479372,0.6992567181246426,0.8066362796010526,0.8618125047286119
q95_events_per_year,"(17.721, 29.676]",1749,21.488279311645265,0.5290627490936594,0.6314701207358699,0.06892371003690323,0.7141223556317896,0.7488401728199302,0.8200326124308474
q95_events_per_year,"(29.676, 7108.961]",1749,51.35661066190794,0.2837375613640459,0.3880073662021694,0.08169303920379889,0.660377358490566,0.7223995722025007,0.7734317659402484
q95_median_sharpness,"(-0.001, 0.415]",1750,0.19402013613720132,0.36069768643105926,0.5160607266938748,0.1024558801648415,0.696,0.7740028391024572,0.805986445428122
q95_median_sharpness,"(0.415, 1.195]",1749,0.7322434095235971,0.5013801015989963,0.6130750711458399,0.06877329194955484,0.68210405946255,0.7870045320012756,0.8232322440032509
q95_median_sharpness,"(1.195, 2.907]",1749,1.8655773611629711,0.5900105130175027,0.6786988057659875,0.057242597627486735,0.6746712407089765,0.828746864620051,0.8608035807583868
q95_median_sharpness,"(2.907, 8.511]",1749,4.7897566125748,0.5770022971936206,0.6641237779139322,0.06010877521279534,0.692967409948542,0.8194174309578169,0.8635278364169129
q95_median_sharpness,"(8.511, 1075.504]",1749,18.42409350077311,0.5885777243152528,0.6623293333045077,0.03996894352164038,0.6552315608919382,0.8216367377187247,0.863353407088353
nearest_other_fold_km_random,"(-0.001, 4.266]",1770,2.4945143862259993,0.5512128878630644,0.6464290451238409,0.06631245759327858,0.6994350282485876,0.7750596810633766,0.8214256490706862
nearest_other_fold_km_random,"(4.266, 8.119]",1767,6.037681205535786,0.5437893140576692,0.638694173572667,0.06824355427783935,0.6949632144878325,0.8028015179103343,0.83741785996794
nearest_other_fold_km_random,"(8.119, 13.016]",1769,10.369376225136566,0.5521754145343878,0.6436530276561203,0.061931598286791845,0.6930469191633691,0.8298530166428327,0.8598409140782359
nearest_other_fold_km_random,"(13.016, 21.852]",1768,16.543913258025547,0.5115166930055857,0.6105933556894492,0.05445028967268295,0.6611990950226244,0.8400005043052299,0.8692334849714787
nearest_other_fold_km_random,"(21.852, 287.763]",1769,31.824966785003387,0.4598931479013671,0.5661145516489209,0.0607830476074871,0.6512153759185981,0.785587417912329,0.8396891011593608
nearest_other_fold_km_blocked,"(2.9890000000000003, 46.506]",1769,31.40804494518468,0.6111267861587251,0.6845328903180324,0.0527440606295666,0.6715658564160543,0.8250968734662358,0.8519818037984567
nearest_other_fold_km_blocked,"(46.506, 77.245]",1768,62.0176491680309,0.5948261893880742,0.6784005214692342,0.04939696262895438,0.666289592760181,0.8299916444301599,0.8577562800470873
nearest_other_fold_km_blocked,"(77.245, 111.324]",1769,94.08209400311549,0.5505217680541672,0.6475883242432237,0.061114806000955924,0.6930469191633691,0.8101616327121949,0.8532914490329804
nearest_other_fold_km_blocked,"(111.324, 160.722]",1768,132.92266774721267,0.48285625897993195,0.6080904454070408,0.06781140429940327,0.6990950226244343,0.7976720214416434,0.8419640293993195
nearest_other_fold_km_blocked,"(160.722, 828.292]",1769,211.3519588711679,0.3088450206237467,0.4556822205613936,0.08810046397493176,0.6698699830412662,0.7580856257068946,0.8128899042799086
