run,fold,v2_stopped_epoch,v2_best_epoch,v2_best,v3_stopped_epoch,v3_best_epoch,v3_best,pretrain_gain,weights_identical
runB,0,30,25,0.6303690972514752,50,50,0.6351235469541985,0.004754449702723318,False
runB,1,29,23,0.6328033281103189,33,23,0.6328033281103189,0.0,True
runB,2,30,27,0.6239084037781741,46,36,0.6332191419244835,0.009310738146309339,False
runB,3,30,24,0.6300730910787851,44,34,0.6348887218883001,0.004815630809515081,False
runB,4,30,28,0.6352289725246747,38,28,0.6352289725246747,0.0,True
blocked,0,20,14,0.612342727031228,50,44,0.6265286403897762,0.01418591335854813,False
blocked,1,30,25,0.6398071001413557,35,25,0.6398071001413557,0.0,True
blocked,2,30,30,0.6296237700697991,50,47,0.6352957472573849,0.0056719771875858305,False
blocked,3,30,26,0.632269930290015,50,41,0.6350114238614559,0.002741493571440934,False
blocked,4,20,14,0.6243406270381724,44,34,0.6348550062418262,0.010514379203653834,False
